year,q1_households,q2_households,q3_households,q4_households
2010,711590,664489,579677,620657
2015,706436,649102,577085,743953
2020,697950,618724,639361,807598
2025,794385,642927,564003,904757
2030,823447,633061,595850,998208
2035,864693,640737,617156,1073656
2040,894292,644637,644054,1152467
2045,913676,641923,670623,1224922
2050,927911,631506,693890,1297300
