county,county_name,year,shr_occ_management,shr_occ_manual,shr_occ_professional,shr_occ_retail,shr_occ_services,shr_occ_military
8,Sonoma,2030,0.10776,0.35442,0.15253,0.18747,0.19344,0.00439
8,Sonoma,2035,0.10818,0.35362,0.15349,0.18819,0.19227,0.00424
8,Sonoma,2040,0.10863,0.35274,0.15422,0.18912,0.19119,0.00409
8,Sonoma,2045,0.10931,0.35298,0.15488,0.1888,0.19002,0.004
8,Sonoma,2050,0.10998,0.35385,0.15542,0.18812,0.18872,0.00391
9,Marin,2010,0.13084,0.28175,0.17186,0.18022,0.23177,0.00356
9,Marin,2015,0.13,0.29238,0.17205,0.18433,0.21841,0.00283
9,Marin,2020,0.1359,0.29606,0.18251,0.16724,0.21537,0.00292
9,Marin,2025,0.13428,0.30302,0.17743,0.18034,0.20236,0.00258
9,Marin,2030,0.1368,0.30011,0.17998,0.17956,0.20123,0.00232
9,Marin,2035,0.13803,0.30021,0.18103,0.18,0.19849,0.00224
9,Marin,2040,0.13935,0.30005,0.18199,0.18053,0.19594,0.00214
9,Marin,2045,0.14111,0.29929,0.18407,0.17973,0.19373,0.00208
9,Marin,2050,0.14287,0.29893,0.18633,0.17836,0.19148,0.00203
