year,AGREMPN,MWTEMPN,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN
2010,17775,553915,351945,819075,1061390,647725
2015,24894,583589,358070,1003617,1189435,845713
2020,23078,581264,359416,1048788,1123147,929917
2025,23254,539597,328074,1052277,1238800,868152
2030,25973,570549,372798,1196613,1416161,943384
2035,26898,569592,382278,1253549,1469759,973271
2040,27770,573530,399051,1311559,1523990,1012375
2045,28648,577362,406687,1366221,1560007,1037666
2050,29482,581655,414031,1420665,1597765,1067827
