development_projects_id,raw_id,name,site_name,action,scen0,scen3,scen1,scen2,address,city,zip,county,x,y,geom_id,year_built,duration,building_type_id,building_type,building_sqft,non_residential_sqft,residential_units,unit_ave_sqft,tenure,rent_type,stories,parking_spaces,Average Weighted Rent,rent_ave_sqft,rent_ave_unit,last_sale_year,last_sale_price
1787,,Balbach Condos,,,1,1,1,1,"S/s Balbach, 100' ely Almaden",San Jose,,Santa Clara,-121.8876877,37.32720079,1.61E+13,2014,,,,,,101,,,,,,,,,,
1788,,Parc 22 Townhomes,,,1,1,1,1,"S/s William, 350' wly McLaughlin",San Jose,,Santa Clara,-121.8629695,37.33901448,1.70E+13,2012,,,,,,67,,,,,,,,,,
1789,,M8trix Casino/Hotel (Phase 1),,,1,1,1,1,SE/c Airport & Old Bayshore,San Jose,,Santa Clara,-121.9190707,37.37089061,7.94E+12,2011,,,,,89000,,,,,,,,,,,
1790,,Almaden Ranch / Bass Pro,,,1,1,1,1,SE/c Almaden & Chynoweth,San Jose,,Santa Clara,-121.8724115,37.25823213,1.91E+12,2012,,,,,377000,,,,,,,,,,,
1791,,San Pedro Square,,,1,1,1,1,SE/c Bassett & Terraine,San Jose,,Santa Clara,-121.8971682,37.33924285,1.71E+13,2014,,,,,,406,,,,,,,,,,
1792,,Ajisai Gardens Apts,,,1,1,1,1,SE/c E. Taylor & N. 7th,San Jose,,Santa Clara,-121.89295,37.35153204,1.02E+13,2012,,,,,,103,,,,,,,,,,
1793,,Lincoln Office/Retail,,,1,1,1,1,SE/c Lincoln & Willow,San Jose,,Santa Clara,-121.9006114,37.30839232,1.60E+13,2010,,,,,41000,,,,,,,,,,,
1794,,Self Storage,,,1,1,1,1,SE/c N 10th Street & Horning,San Jose,,Santa Clara,-121.8946393,37.35994477,9.81E+12,2014,,,,,84000,,,,,,,,,,,
1795,,Rosemary Family/Senior Apts,,,1,1,1,1,SE/c N. 1st & Rosemary,San Jose,,Santa Clara,-121.9077961,37.35989634,1.67E+13,2011,,,,,,290,,,,,,,,,,
1796,,Hampton Inn,,,1,1,1,1,SE/c W. Santa Clara & Hwy 87,San Jose,,Santa Clara,-121.8960678,37.33317714,1.20E+13,2014,,,,,128000,,,,,,,,,,,
1797,,Santana Row (Misora),,,1,1,1,1,SE/c Winchester & Stevens Creek,San Jose,,Santa Clara,-121.9474733,37.31985905,1.27E+12,2012,,,,,,220,,,,,,,,,,
1798,,Hyatt House/Hyatt Place,,,1,1,1,1,Sly term. Karina,San Jose,,Santa Clara,-121.921595,37.37311143,1.48E+13,2014,,,,,206000,,,,,,,,,,,
1799,,Earthquakes Soccer Stadium,,,1,1,1,1,SW/c Coleman & Newhall,San Jose,,Santa Clara,-121.9253605,37.35115466,2.16E+11,2012,,,,,219000,,,,,,,,,,,
1800,,Orchard Park,,,1,1,1,1,SW/c E. Brokaw & Oakland,San Jose,,Santa Clara,-121.897072,37.37977508,3.77E+12,2012,,,,,,240,,,,,,,,,,
1801,,Edwards Mixed Use,,,1,1,1,1,SW/c Edwards & S. 1st,San Jose,,Santa Clara,-121.8797656,37.32126902,1.12E+13,2010,,,,,,50,,,,,,,,,,
