year,q1_households,q2_households,q3_households,q4_households
2010,711590,664489,579677,620657
2015,706436,649102,577085,743953
2020,697290,618266,640811,808276
2025,717672,751258,583680,898959
2030,778920,780969,633529,1015261
2035,860867,837540,679340,1117465
2040,920472,876152,717449,1196962
2045,966977,902523,752085,1263583
2050,1009965,920534,783652,1329161
