year,AGREMPN,MWTEMPN,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN
2010,17775,553915,351945,819075,1061390,647725
2015,24894,583589,358070,1003617,1189435,845713
2020,23104,582468,360466,1050257,1125255,937856
2025,23333,544887,332761,1061631,1250156,934923
2030,26113,578753,380136,1213576,1438403,1007199
2035,27156,581930,394088,1281516,1507450,1042373
2040,28148,590287,416311,1351402,1578856,1088409
2045,29151,598673,429085,1418337,1632264,1119571
2050,30120,607658,441559,1485460,1688091,1155572
