year,AGREMPN,FPSEMPN,HEREMPN,MWTEMPN,OTHEMPN,RETEMPN
2010,27545,818157,867980,561534,546126,636935
2015,24894,1003617,1189435,583589,845713,358070
2020,23104,1050257,1125255,582468,937856,360466
2025,23333,1061631,1250156,544887,934923,332761
2030,26113,1213576,1438403,578753,1007199,380136
2035,27156,1281516,1507450,581930,1042373,394088
2040,28148,1351402,1578856,590287,1088409,416311
2045,29151,1418337,1632264,598673,1119571,429085
2050,30120,1485460,1688091,607658,1155572,441559
