fbpzoningmodcat,modcat_id,FREQUENCY,SUM_ACRES,manual_county,zone,juris,gg_id,tra_id,sesit_id,ppa_id,exp2020_id,exsfd_id,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,notes,res_rent_cat,job_out_cat
alamedaGGNADISNAinNA,1,17,2.579486268,1,963,alameda,GG,NA,DIS,NA,in,NA,,,25,1.5,,,,,,
alamedaGGNADISNAinsfd,2,234,27.30474532,1,963,alameda,GG,NA,DIS,NA,in,sfd,,,25,1.5,,,,,,
alamedaGGNAHRADISNAinNA,3,77,35.7035548,1,958,alameda,GG,NA,HRADIS,NA,in,NA,HM,,35,1,,,,,,
alamedaGGNAHRADISNAinsfd,4,381,47.79640031,1,958,alameda,GG,NA,HRADIS,NA,in,sfd,HM,,35,1,,,,,,
alamedaGGNAHRANAinNA,5,114,148.3558407,1,954,alameda,GG,NA,HRA,NA,in,NA,HM,,35,1,,,,,,
alamedaGGNAHRANAinsfd,6,409,50.88909364,1,957,alameda,GG,NA,HRA,NA,in,sfd,HM,,35,1,,,,,,
alamedaGGNANANAinNA,7,335,403.6765045,1,960,alameda,GG,NA,NA,NA,in,NA,,,25,1.5,,,,,,
alamedaGGNANANAinsfd,8,57,5.45819703,1,961,alameda,GG,NA,NA,NA,in,sfd,,,25,1.5,,,,,,
alamedaGGtra2aNANAinNA,9,27,38.2168799,1,960,alameda,GG,tra2a,NA,NA,in,NA,HM,,75,2,,,,,,
alamedaGGtra3DISNAinNA,10,201,41.31434565,1,963,alameda,GG,tra3,DIS,NA,in,NA,HM,,35,2,,,,,,
alamedaGGtra3DISNAinsfd,11,319,31.19278397,1,963,alameda,GG,tra3,DIS,NA,in,sfd,HM,,35,2,,,,,,
alamedaGGtra3HRADISNAinNA,12,2048,332.1786621,1,953,alameda,GG,tra3,HRADIS,NA,in,NA,HM,,50,2.5,,,,,,
alamedaGGtra3HRADISNAinsfd,13,318,36.1624053,1,953,alameda,GG,tra3,HRADIS,NA,in,sfd,HM,,50,2,,,,,,
alamedaGGtra3HRANAinNA,14,4345,703.3629318,1,952,alameda,GG,tra3,HRA,NA,in,NA,HM,,50,2.5,,,,,,
alamedaGGtra3HRANAinsfd,15,4126,449.5881679,1,951,alameda,GG,tra3,HRA,NA,in,sfd,HM,,50,2,,,,,,
alamedaGGtra3NANAinNA,16,1939,884.4838548,1,960,alameda,GG,tra3,NA,NA,in,NA,HM,,35,2,,,,,,
alamedaGGtra3NANAinsfd,17,1771,179.3724002,1,960,alameda,GG,tra3,NA,NA,in,sfd,HM,,35,2,,,,,,
alamedaNANADISNAinNA,18,38,41.23649302,1,963,alameda,NA,NA,DIS,NA,in,NA,,,,,,,,,,
alamedaNANADISNAinsfd,19,22,1.866766059,1,963,alameda,NA,NA,DIS,NA,in,sfd,,,,,,,,,,
alamedaNANAHRADISNAinNA,20,2,37.46158175,1,958,alameda,NA,NA,HRADIS,NA,in,NA,,,,,,,,,,
alamedaNANAHRADISNAinsfd,21,1,0.478288612,1,958,alameda,NA,NA,HRADIS,NA,in,sfd,,,,,,,,,,
alamedaNANAHRANAinNA,22,51,225.0062636,1,957,alameda,NA,NA,HRA,NA,in,NA,,,,,,,,,,
alamedaNANAHRANAinsfd,23,2,0.44279002,1,951,alameda,NA,NA,HRA,NA,in,sfd,,,,,,,,,,
alamedaNANANANAinNA,24,100,2032.685244,1,963,alameda,NA,NA,NA,NA,in,NA,,,,,,,,,,
alamedaNANANANAinsfd,25,5,3.957051237,1,962,alameda,NA,NA,NA,NA,in,sfd,,,,,,,,,,
alamedaNANANANAoutsfd,26,1,0.234225895,1,963,alameda,NA,NA,NA,NA,out,sfd,,,,,0,0,,,,
alamedaNANANAppainNA,27,2,3.038067988,1,952,alameda,NA,NA,NA,ppa,in,NA,,,,,,,,,,
alamedaNAtra2aNANAinNA,28,1,0.932649836,1,960,alameda,NA,tra2a,NA,NA,in,NA,,,,,,,,,,
alamedaNAtra2aNANAoutNA,29,1,0.186219549,1,961,alameda,NA,tra2a,NA,NA,out,NA,,,,,0,0,,,,
alamedaNAtra3DISNAinNA,30,22,9.16452204,1,963,alameda,NA,tra3,DIS,NA,in,NA,,,,,,,,,,
alamedaNAtra3DISNAinsfd,31,17,10.89749999,1,963,alameda,NA,tra3,DIS,NA,in,sfd,,,,,,,,,,
alamedaNAtra3HRADISNAinNA,32,136,74.3425289,1,953,alameda,NA,tra3,HRADIS,NA,in,NA,,,,,,,,,,
alamedaNAtra3HRADISNAinsfd,33,45,5.114498073,1,953,alameda,NA,tra3,HRADIS,NA,in,sfd,,,,,,,,,,
alamedaNAtra3HRANAinNA,34,609,541.8699706,1,952,alameda,NA,tra3,HRA,NA,in,NA,,,,,,,,,,
alamedaNAtra3HRANAinsfd,35,198,23.21693203,1,950,alameda,NA,tra3,HRA,NA,in,sfd,,,,,,,,,,
alamedaNAtra3NANAinNA,36,73,84.6471237,1,949,alameda,NA,tra3,NA,NA,in,NA,,,,,,,,,,
alamedaNAtra3NANAinsfd,37,286,33.77368833,1,949,alameda,NA,tra3,NA,NA,in,sfd,,,,,,,,,,
alamedaNAtra3NANAoutNA,38,11,28.6270844,1,949,alameda,NA,tra3,NA,NA,out,NA,,,,,0,0,,,,
albanyGGNAHRANAinNA,39,1,0.986530238,1,1039,albany,GG,NA,HRA,NA,in,NA,HM,,35,1,,,,,,
albanyGGNAHRANAinsfd,40,2,0.097554945,1,1035,albany,GG,NA,HRA,NA,in,sfd,HM,,35,1,,,,,,
albanyGGtra2aHRANAinNA,41,122,27.85115906,1,1039,albany,GG,tra2a,HRA,NA,in,NA,HM,,100,2.5,,,,,,
albanyGGtra2aHRANAinsfd,42,253,23.94304915,1,1036,albany,GG,tra2a,HRA,NA,in,sfd,HM,,50,2,,,,,,
albanyGGtra2aNANAinNA,43,1,0.005182529,1,1042,albany,GG,tra2a,NA,NA,in,NA,HM,,75,2,,,,,,
albanyGGtra2aNANAinsfd,44,1,0.127050058,1,1035,albany,GG,tra2a,NA,NA,in,sfd,HM,,35,1.5,,,,,,
albanyGGtra3HRANAinNA,45,840,183.9973856,1,1036,albany,GG,tra3,HRA,NA,in,NA,HM,,50,2.5,,,,,,
albanyGGtra3HRANAinsfd,46,2995,277.5062224,1,1034,albany,GG,tra3,HRA,NA,in,sfd,HM,,50,2,,,,,,
albanyGGtra3NANAinNA,47,8,100.8861464,1,1038,albany,GG,tra3,NA,NA,in,NA,HM,,35,2,,,,,,
albanyNANAHRANAinNA,48,4,40.59512524,1,1039,albany,NA,NA,HRA,NA,in,NA,,,,,,,,,,
albanyNANAHRANAoutNA,49,1,20.0904586,1,1038,albany,NA,NA,HRA,NA,out,NA,,,,,0,0,,,,
albanyNANANANAoutNA,50,13,1919.47289,1,1059,albany,NA,NA,NA,NA,out,NA,,,,,0,0,,,,
albanyNAtra2aHRANAinNA,51,2,4.685903963,1,1036,albany,NA,tra2a,HRA,NA,in,NA,,,,,,,,,,
albanyNAtra3HRANAinNA,52,52,31.25838711,1,1037,albany,NA,tra3,HRA,NA,in,NA,,,,,,,,,,
albanyNAtra3HRANAinsfd,53,264,23.85798273,1,1034,albany,NA,tra3,HRA,NA,in,sfd,,,,,,,,,,
albanyNAtra3HRANAoutNA,54,2,1.02749658,1,1039,albany,NA,tra3,HRA,NA,out,NA,,,,,0,0,,,,
albanyNAtra3NANAinNA,55,17,150.6743364,1,1038,albany,NA,tra3,NA,NA,in,NA,,,,,,,,,,
american_canyonGGNADISNAinNA,56,114,130.9880148,55,1292,american_canyon,GG,NA,DIS,NA,in,NA,,,25,1.5,,,,,,
american_canyonGGNADISNAinsfd,57,23,21.39812967,55,1292,american_canyon,GG,NA,DIS,NA,in,sfd,,,25,1.5,,,,,,
