fbpzoningmodcat,modcat_id,FREQUENCY,SUM_ACRES,manual_county,zone,juris,gg_id,tra_id,sesit_id,ppa_id,exp2020_id,exsfd_id,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,notes,res_rent_cat,job_out_cat
santa_claraGGtra3HRANAoutNA,1881,2,0.446739773,85,440,santa_clara,GG,tra3,HRA,NA,out,NA,,,,,0,0,,,,
santa_claraGGtra3NANAinNA,1882,378,262.8593088,85,433,santa_clara,GG,tra3,NA,NA,in,NA,HM,,35,2,,,,,,
santa_claraGGtra3NANAinsfd,1883,467,65.51463921,85,437,santa_clara,GG,tra3,NA,NA,in,sfd,HM,,35,2,,,,,,
santa_claraNANADISNAinNA,1884,474,416.0436877,85,444,santa_clara,NA,NA,DIS,NA,in,NA,,,,,,,,,,
santa_claraNANADISNAinsfd,1885,596,89.51554617,85,443,santa_clara,NA,NA,DIS,NA,in,sfd,,,,,,,,,,
santa_claraNANAHRADISNAinNA,1886,294,125.4223724,85,464,santa_clara,NA,NA,HRADIS,NA,in,NA,,,,,,,,,,
santa_claraNANAHRADISNAinsfd,1887,1015,145.2768734,85,464,santa_clara,NA,NA,HRADIS,NA,in,sfd,,,,,,,,,,
santa_claraNANAHRANAinNA,1888,764,194.344905,85,413,santa_clara,NA,NA,HRA,NA,in,NA,,,,,,,,,,
santa_claraNANAHRANAinsfd,1889,638,92.40441709,85,460,santa_clara,NA,NA,HRA,NA,in,sfd,,,,,,,,,,
santa_claraNANANANAinNA,1890,1213,1283.58787,85,431,santa_clara,NA,NA,NA,NA,in,NA,,,,,,,,,,
santa_claraNANANANAinsfd,1891,652,95.17125957,85,415,santa_clara,NA,NA,NA,NA,in,sfd,,,,,,,,,,
santa_claraNAtra1DISNAinNA,1892,2,4.48530358,85,545,santa_clara,NA,tra1,DIS,NA,in,NA,,,,,,,,,,
santa_claraNAtra1NANAinNA,1893,1,0.359928805,85,432,santa_clara,NA,tra1,NA,NA,in,NA,,,,,,,,,,
santa_claraNAtra2bDISNAinNA,1894,2,1.103807159,85,416,santa_clara,NA,tra2b,DIS,NA,in,NA,,,,,,,,,,
santa_claraNAtra2bDISNAoutNA,1895,1,19.94947862,85,414,santa_clara,NA,tra2b,DIS,NA,out,NA,,,,,0,0,,,,
santa_claraNAtra2bHRANAinNA,1896,26,31.32722161,85,413,santa_clara,NA,tra2b,HRA,NA,in,NA,,,,,,,,,,
