superdistrict,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
33,42328,99933,10139,10209,9911,12069,31095,14501,53907,209,5059,5504,13808,14473,14854,0.680623894517,30096248,558.299441631
9,96592,245516,24263,23212,26187,22930,44556,57871,277227,182,122987,13029,68994,29013,43022,1.08393931233,202489155,730.409213388
17,123307,355897,34384,37703,32338,18882,85468,39486,130973,110,45080,14101,18292,29118,24272,0.721363551271,125842821,960.830255091
16,103404,312809,17362,23472,31918,30652,72948,28146,127327,162,44790,13536,26373,25937,16529,0.708751439381,115737702,908.98004351
15,70858,192353,10060,14406,21588,24804,55658,13961,123117,458,21060,19896,35757,19946,26000,0.63654820511,78882597,640.712468627
18,174874,444801,68153,48178,32071,26472,96107,87199,184516,360,25332,11842,36565,54693,55724,0.909788048737,146177836,792.223091764
24,90456,278911,20743,25375,27435,16903,81149,16318,53760,538,5248,9645,9850,16204,12275,0.557345130562,39581351,736.260249256
34,37898,91097,5427,7130,7441,17900,27368,14180,38840,101,2731,4761,10632,13035,7580,0.692377959661,20085720,517.140061792
30,90242,232105,25604,27135,22433,15070,70259,26024,97924,875,16973,12909,19134,28884,19149,0.642209538991,64087013,654.456650055
32,23045,57425,4770,5855,6028,6392,17535,6519,26409,45,1965,2574,11099,5278,5448,0.657114342743,14854699,562.486235753
27,34736,97398,9560,10277,9171,5728,27840,9380,42277,492,7439,5766,7206,14485,6889,0.623850574713,34019760,804.687182156
10,119081,309358,27502,26050,27706,37823,85007,39496,115632,113,21458,16881,25226,33129,18825,0.700418789041,69139182,597.924294313
1,74224,129170,33796,18134,11182,11112,1732,84962,336721,424,25007,19242,149135,59524,83389,21.4272517321,204572842,607.544055761
3,118510,314938,31642,31311,28790,26767,59590,66839,129194,94,17132,8189,22781,42720,38278,0.994378251384,120227041,930.593069338
6,82370,202614,12139,16729,21230,32272,54515,31571,90426,397,9629,10921,31876,20156,17447,0.75548014308,46383503,512.944319112
31,31795,79260,9097,9202,7850,5646,33692,5978,24139,1748,5086,2787,3467,6118,4933,0.471847916419,18378104,761.344877584
7,77085,211408,12143,15097,17569,32276,58442,23076,132369,1077,26542,8768,31620,24427,39935,0.659500017111,73673320,556.575331082
19,72147,157488,27076,18491,13408,13172,36807,36588,115619,54,14189,8517,31899,43198,17762,0.980071725487,76437844,661.118362899
29,63897,158879,16133,17826,17894,12044,50998,17542,60781,1263,11472,8420,13260,16021,10345,0.626465743755,41804636,687.791184745
12,106654,387160,23474,24587,29717,28876,86382,24106,100726,131,26909,11838,18076,23073,20699,0.617339260494,68787095,682.913001608
23,51690,137159,4245,6727,12044,28674,47407,6114,63997,800,6098,6429,16147,13966,20557,0.545172653827,33099698,517.207025329
22,59170,132604,11334,12681,14346,20809,41954,20603,76559,119,6623,8095,24786,25644,11292,0.705177098727,43955118,574.133909795
2,101712,198039,24557,24400,22907,29848,16765,93855,83491,121,4138,6764,13070,30269,29129,3.03346257083,53873769,645.264387778
5,98219,284957,16772,23555,30972,26920,71682,31000,107973,134,26768,13817,18579,27574,21101,0.685102257191,75818457,702.198299575
14,33812,107113,8638,8219,8476,8479,27426,8244,42670,1766,10630,6358,7480,9390,7046,0.616422372931,31479071,737.733091165
8,70535,166770,17425,14648,13911,24551,44048,30720,134894,88,12804,9342,34224,63816,14620,0.800660642935,77058865,571.25494833
13,72730,213545,13702,15965,20697,22366,57877,17213,50007,161,9172,7847,12277,13345,7205,0.628315220208,29998656,599.889135521
11,102254,291037,35720,28660,22194,15680,58137,50656,123159,165,17425,9419,33024,27879,35247,0.879422742832,88630055,719.639287425
20,88611,248439,26702,26309,22139,13461,66451,28865,68040,451,16636,8687,10692,16640,14934,0.666739401965,52986832,778.760023516
28,14184,33851,3514,3723,3240,3707,14606,2946,20652,2437,4942,1881,2273,5979,3140,0.485553881966,12999128,629.436761573
21,85598,220631,20217,22598,24142,18641,63591,26747,107052,240,14888,11912,21986,27611,30415,0.673035492444,62941189,587.949678661
4,49753,128395,11933,12334,12516,12970,35192,17582,27518,12,1458,3921,5180,8509,8438,0.70687940441,19502366,708.713060542
26,89972,254588,20899,25816,27372,15885,72061,16006,87754,1474,14436,12273,14547,21373,23651,0.624276654501,57343356,653.455751305
25,51867,142800,12920,14442,14395,10110,36071,16970,44821,125,6646,5199,10207,11050,11594,0.718957056916,27778009,619.754333906
