"taz","walk_subzone","walk_subzone_label","incQ","incQ_label","autoSuff","autoSuff_label","hasAV","num_persons","num_workers","num_workers_students"
7,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,690,584,610
7,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,55,55,55
7,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,100,77,83
7,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,547,487,526
7,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,84,71,78
7,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,72,45,65
7,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,329,189,248
7,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,305,126,210
7,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,6,6,6
8,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,5658,1214,1660
8,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,127,65,109
8,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,1005,144,203
8,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,810,559,672
8,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,136,82,115
8,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,87,43,52
8,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,386,295,340
8,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,162,92,131
8,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,31,18,24
8,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,406,185,283
8,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,216,95,153
8,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,5,4,4
9,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,3516,1491,2124
9,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,82,52,70
9,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,872,317,444
9,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,1139,898,1020
9,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,319,223,276
9,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,199,148,150
9,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,771,610,720
9,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,404,241,321
9,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,130,75,123
