year,totpop,empres,medianage,age0004,age0519,age2044,age4564,age65p,st_res_vac
2010,7167871,3389111,37.7,447536,1321745,2581391,1931955,885244,0.030
2015,7654869,3984906,38.5,443102,1335262,2745530,2050290,1080685,0.010
2020,8499452,4513251,38.9,506291,1496780,2990397,2191732,1314252,0.012
2025,9258213,4652948,39.6,547174,1592819,3239515,2288886,1589819,0.014
2030,9993372,4945012,40.2,582934,1687678,3441307,2421669,1859784,0.016
2035,10578356,4762999,40.9,617995,1767003,3523406,2579391,2090561,0.019
2040,11576571,5702776,42.7,698654,1930386,3932046,2730270,2285215,0.022
2045,12731791,6179007,42.2,785679,2145348,4386740,2933964,2480060,0.026
2050,13880289,6697046,42.9,874340,2378364,4751128,3164221,2712236,0.030
