taz,autoPeakRetail,autoPeakTotal,autoOffPeakRetail,autoOffPeakTotal,transitPeakRetail,transitPeakTotal,transitOffPeakRetail,transitOffPeakTotal,nonMotorizedRetail,nonMotorizedTotal
     452,        10.0054,        12.4941,        10.0857,        12.5897,         3.0464,         5.1275,         2.7738,         4.8878,         5.3491,         7.1262
     453,         9.9594,        12.4491,        10.0495,        12.5564,         3.5875,         5.7164,         3.4835,         5.6011,         5.1238,         6.9029
     454,         9.9327,        12.4061,        10.0273,        12.5248,         0.3669,         1.3454,         0.3917,         1.3924,         4.1913,         6.3474
     455,         9.9934,        12.4503,        10.0827,        12.5624,         3.1499,         5.0794,         3.1616,         5.0780,         4.9550,         6.9873
     456,        10.0204,        12.4737,        10.1061,        12.5820,         2.8655,         4.8760,         2.6597,         4.6877,         4.4273,         6.0273
     457,        10.0064,        12.4630,        10.0852,        12.5642,         2.1770,         4.0658,         2.1832,         4.0582,         4.6515,         6.8208
     458,        10.0244,        12.4952,        10.1057,        12.6013,         3.6240,         5.8733,         3.5875,         5.8123,         4.6709,         5.8372
     459,        10.0319,        12.4883,        10.1093,        12.5893,         3.6039,         6.0074,         3.5102,         5.8789,         5.0556,         7.0518
     460,        10.0887,        12.5440,        10.1778,        12.6580,         3.5854,         5.5911,         3.5670,         5.5433,         4.8090,         7.8071
     461,        10.1089,        12.5858,        10.1786,        12.6721,         3.3441,         5.6206,         2.4572,         4.7287,         5.1949,         6.6478
     462,        10.1295,        12.5758,        10.2088,        12.6762,         4.3911,         6.6409,         4.3156,         6.5343,         6.0234,         6.9251
     463,        10.1501,        12.6128,        10.2175,        12.6988,         4.2473,         6.5705,         3.4519,         5.7275,         5.8481,         7.0167
     464,        10.1571,        12.6484,        10.2326,        12.7443,         2.0968,         4.3729,         1.8082,         4.0588,         5.9152,         7.4295
     465,        10.1976,        12.6627,        10.2800,        12.7668,         3.5462,         5.8098,         3.3790,         5.6039,         6.3467,         7.4543
     466,        10.2011,        12.6820,        10.2780,        12.7742,         3.7497,         6.2335,         3.6658,         6.1494,         6.9671,         7.9202
     467,        10.0999,        12.5413,        10.1995,        12.6660,         3.6962,         5.8660,         3.6009,         5.7667,         5.5730,         7.7970
     468,        10.0441,        12.4522,        10.1497,        12.5850,         3.6600,         5.8200,         3.3436,         5.6068,         4.9778,         6.8752
     469,        10.0235,        12.4284,        10.1293,        12.5624,         3.1759,         5.2521,         2.5249,         4.5344,         5.0198,         7.0842
