year,totpop,empres,medianage,age0004,age0519,age2044,age4564,age65p,st_res_vac
2010,7167871,3389111,37.7,447536,1321745,2581391,1931955,885244,0.030
2015,7654870,3984906,38.5,443102,1335262,2745530,2050290,1080686,0.010
2020,7579809,3605836,38.9,393994,1324781,2495528,2069547,1295959,0.012
2025,7612328,3724052,39.6,352857,1268944,2399779,2066667,1524081,0.014
2030,7630499,3672790,40.2,321727,1186025,2299044,2087758,1735945,0.016
2035,7500273,3370577,40.9,303043,1069725,2135552,2094104,1897849,0.019
2040,7802678,4011612,42.7,338672,1068505,2351577,2030470,2013454,0.022
2045,8251264,4291779,42.2,364202,1150546,2629818,1989699,2116999,0.026
2050,8560647,4498758,42.9,361905,1232739,2724550,2000727,2240726,0.030
