fbpzoningm,modcat_id,FREQUENCY,SUM_ACRES,manual_county,zone,juris,gg_id,tra_id,sesit_id,ppa_id,exp2020_id,exsfd_id,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,notes,res_rent_cat,exp_on
alamedaGGNADISNAinNA,1,17,2.579486268,1,963,alameda,GG,NA,DIS,NA,in,NA,,,,,,,,,,
alamedaGGNADISNAinsfd,2,234,27.30474532,1,963,alameda,GG,NA,DIS,NA,in,sfd,,,,,,,,,,
alamedaGGNAHRADISNAinNA,3,77,35.7035548,1,958,alameda,GG,NA,HRADIS,NA,in,NA,,,,,,,,,,
alamedaGGNAHRADISNAinsfd,4,381,47.79640031,1,958,alameda,GG,NA,HRADIS,NA,in,sfd,,,,,,,,,,
alamedaGGNAHRANAinNA,5,114,148.3558407,1,954,alameda,GG,NA,HRA,NA,in,NA,,,,,,,,,,
alamedaGGNAHRANAinsfd,6,409,50.88909364,1,957,alameda,GG,NA,HRA,NA,in,sfd,,,,,,,,,,
alamedaGGNANANAinNA,7,335,403.6765045,1,960,alameda,GG,NA,NA,NA,in,NA,,,,,,,,,,
alamedaGGNANANAinsfd,8,57,5.45819703,1,961,alameda,GG,NA,NA,NA,in,sfd,,,,,,,,,,
alamedaGGtra2aNANAinNA,9,27,38.2168799,1,960,alameda,GG,tra2a,NA,NA,in,NA,,,,,,,,,,
alamedaGGtra3DISNAinNA,10,201,41.31434565,1,963,alameda,GG,tra3,DIS,NA,in,NA,,,,,,,,,,
alamedaGGtra3DISNAinsfd,11,319,31.19278397,1,963,alameda,GG,tra3,DIS,NA,in,sfd,,,,,,,,,,
alamedaGGtra3HRADISNAinNA,12,2048,332.1786621,1,953,alameda,GG,tra3,HRADIS,NA,in,NA,,,,,,,,,,
alamedaGGtra3HRADISNAinsfd,13,318,36.1624053,1,953,alameda,GG,tra3,HRADIS,NA,in,sfd,,,,,,,,,,
alamedaGGtra3HRANAinNA,14,4345,703.3629318,1,952,alameda,GG,tra3,HRA,NA,in,NA,,,,,,,,,,
alamedaGGtra3HRANAinsfd,15,4126,449.5881679,1,951,alameda,GG,tra3,HRA,NA,in,sfd,,,,,,,,,,
alamedaGGtra3NANAinNA,16,1939,884.4838548,1,960,alameda,GG,tra3,NA,NA,in,NA,,,,,,,,,,
alamedaGGtra3NANAinsfd,17,1771,179.3724002,1,960,alameda,GG,tra3,NA,NA,in,sfd,,,,,,,,,,
alamedaNANADISNAinNA,18,38,41.23649302,1,963,alameda,NA,NA,DIS,NA,in,NA,,,,,,,,,,
alamedaNANADISNAinsfd,19,22,1.866766059,1,963,alameda,NA,NA,DIS,NA,in,sfd,,,,,,,,,,
alamedaNANAHRADISNAinNA,20,2,37.46158175,1,958,alameda,NA,NA,HRADIS,NA,in,NA,,,,,,,,,,
alamedaNANAHRADISNAinsfd,21,1,0.478288612,1,958,alameda,NA,NA,HRADIS,NA,in,sfd,,,,,,,,,,
alamedaNANAHRANAinNA,22,51,225.0062636,1,957,alameda,NA,NA,HRA,NA,in,NA,,,,,,,,,,
alamedaNANAHRANAinsfd,23,2,0.44279002,1,951,alameda,NA,NA,HRA,NA,in,sfd,,,,,,,,,,
alamedaNANANANAinNA,24,100,2032.685244,1,963,alameda,NA,NA,NA,NA,in,NA,,,,,,,,,,
alamedaNANANANAinsfd,25,5,3.957051237,1,962,alameda,NA,NA,NA,NA,in,sfd,,,,,,,,,,
alamedaNANANANAoutsfd,26,1,0.234225895,1,963,alameda,NA,NA,NA,NA,out,sfd,,,,,,,,,,
alamedaNANANAppainNA,27,2,3.038067988,1,952,alameda,NA,NA,NA,ppa,in,NA,,,,,,,,,,
alamedaNAtra2aNANAinNA,28,1,0.932649836,1,960,alameda,NA,tra2a,NA,NA,in,NA,,,,,,,,,,
alamedaNAtra2aNANAoutNA,29,1,0.186219549,1,961,alameda,NA,tra2a,NA,NA,out,NA,,,,,,,,,,
alamedaNAtra2cNANAinNA,30,1,66.69830506,1,948,alameda,NA,tra2c,NA,NA,in,NA,,,,,,,,,,
alamedaNAtra3DISNAinNA,31,22,9.16452204,1,963,alameda,NA,tra3,DIS,NA,in,NA,,,,,,,,,,
alamedaNAtra3DISNAinsfd,32,17,10.89749999,1,963,alameda,NA,tra3,DIS,NA,in,sfd,,,,,,,,,,
alamedaNAtra3HRADISNAinNA,33,136,74.3425289,1,953,alameda,NA,tra3,HRADIS,NA,in,NA,,,,,,,,,,
alamedaNAtra3HRADISNAinsfd,34,45,5.114498073,1,953,alameda,NA,tra3,HRADIS,NA,in,sfd,,,,,,,,,,
alamedaNAtra3HRANAinNA,35,609,541.8699706,1,952,alameda,NA,tra3,HRA,NA,in,NA,,,,,,,,,,
alamedaNAtra3HRANAinsfd,36,198,23.21693203,1,950,alameda,NA,tra3,HRA,NA,in,sfd,,,,,,,,,,
alamedaNAtra3NANAinNA,37,72,17.94881864,1,949,alameda,NA,tra3,NA,NA,in,NA,,,,,,,,,,
alamedaNAtra3NANAinsfd,38,286,33.77368833,1,949,alameda,NA,tra3,NA,NA,in,sfd,,,,,,,,,,
alamedaNAtra3NANAoutNA,39,11,28.6270844,1,949,alameda,NA,tra3,NA,NA,out,NA,,,,,,,,,,
albanyGGNAHRANAinNA,40,1,0.986530238,1,1039,albany,GG,NA,HRA,NA,in,NA,,,,,,,,,,
albanyGGNAHRANAinsfd,41,2,0.097554945,1,1035,albany,GG,NA,HRA,NA,in,sfd,,,,,,,,,,
albanyGGtra2aHRANAinNA,42,122,27.85115906,1,1039,albany,GG,tra2a,HRA,NA,in,NA,,,,,,,,,,
albanyGGtra2aHRANAinsfd,43,253,23.94304915,1,1036,albany,GG,tra2a,HRA,NA,in,sfd,,,,,,,,,,
albanyGGtra2aNANAinNA,44,1,0.005182529,1,1042,albany,GG,tra2a,NA,NA,in,NA,,,,,,,,,,
albanyGGtra2aNANAinsfd,45,1,0.127050058,1,1035,albany,GG,tra2a,NA,NA,in,sfd,,,,,,,,,,
albanyGGtra3HRANAinNA,46,840,183.9973856,1,1036,albany,GG,tra3,HRA,NA,in,NA,,,,,,,,,,
albanyGGtra3HRANAinsfd,47,2995,277.5062224,1,1034,albany,GG,tra3,HRA,NA,in,sfd,,,,,,,,,,
albanyGGtra3NANAinNA,48,8,100.8861464,1,1038,albany,GG,tra3,NA,NA,in,NA,,,,,,,,,,
albanyNANAHRANAinNA,49,4,40.59512524,1,1039,albany,NA,NA,HRA,NA,in,NA,,,,,,,,,,
albanyNANAHRANAoutNA,50,1,20.0904586,1,1038,albany,NA,NA,HRA,NA,out,NA,,,,,,,,,,
albanyNANANANAoutNA,51,13,1919.47289,1,1059,albany,NA,NA,NA,NA,out,NA,,,,,,,,,,
albanyNAtra2aHRANAinNA,52,2,4.685903963,1,1036,albany,NA,tra2a,HRA,NA,in,NA,,,,,,,,,,
albanyNAtra3HRANAinNA,53,52,31.25838711,1,1037,albany,NA,tra3,HRA,NA,in,NA,,,,,,,,,,
albanyNAtra3HRANAinsfd,54,264,23.85798273,1,1034,albany,NA,tra3,HRA,NA,in,sfd,,,,,,,,,,
albanyNAtra3HRANAoutNA,55,2,1.02749658,1,1039,albany,NA,tra3,HRA,NA,out,NA,,,,,,,,,,
albanyNAtra3NANAinNA,56,17,150.6743364,1,1038,albany,NA,tra3,NA,NA,in,NA,,,,,,,,,,
american_canyonGGNADISNAinNA,57,114,130.9880148,55,1292,american_canyon,GG,NA,DIS,NA,in,NA,,,,,,,,,,
american_canyonGGNADISNAinsfd,58,23,21.39812967,55,1292,american_canyon,GG,NA,DIS,NA,in,sfd,,,,,,,,,,
american_canyonGGNADISppainNA,59,1,5.41592892,55,1292,american_canyon,GG,NA,DIS,ppa,in,NA,,,,,,,,,,
american_canyonGGNANANAinNA,60,56,137.4630093,55,1291,american_canyon,GG,NA,NA,NA,in,NA,,,,,,,,,,
american_canyonGGNANANAinsfd,61,2,0.57365309,55,1291,american_canyon,GG,NA,NA,NA,in,sfd,,,,,,,,,,
american_canyonGGNANAppainNA,62,3,2.82246348,55,1291,american_canyon,GG,NA,NA,ppa,in,NA,,,,,,,,,,
american_canyonNANADISNAinNA,63,701,907.4566006,55,1292,american_canyon,NA,NA,DIS,NA,in,NA,,,,,,,,,,
american_canyonNANADISNAinsfd,64,3328,640.607983,55,1291,american_canyon,NA,NA,DIS,NA,in,sfd,,,,,,,,,,
american_canyonNANADISppaexp1NA,65,1,2.854592635,55,1292,american_canyon,NA,NA,DIS,ppa,exp1,NA,HS,,2.75,,,,,,,1
american_canyonNANADISppainNA,66,104,1017.721599,55,1292,american_canyon,NA,NA,DIS,ppa,in,NA,,,,,,,,,,
american_canyonNANADISppainsfd,67,8,18.45735684,55,1292,american_canyon,NA,NA,DIS,ppa,in,sfd,,,,,,,,,,
american_canyonNANANANAinNA,68,380,472.8486239,55,1291,american_canyon,NA,NA,NA,NA,in,NA,,,,,,,,,,
american_canyonNANANANAinsfd,69,478,82.28883059,55,1291,american_canyon,NA,NA,NA,NA,in,sfd,,,,,,,,,,
american_canyonNANANANAoutNA,70,1,14.73793226,55,1291,american_canyon,NA,NA,NA,NA,out,NA,,,,,,,,,,
american_canyonNANANAppainNA,71,11,7.26552027,55,1291,american_canyon,NA,NA,NA,ppa,in,NA,,,,,,,,,,
antiochGGNADISNAinNA,72,58,196.909396,13,1184,antioch,GG,NA,DIS,NA,in,NA,,,,,,,,,,
antiochGGNADISNAinsfd,73,292,64.72433015,13,1187,antioch,GG,NA,DIS,NA,in,sfd,,,,,,,,,,
antiochGGNANANAinNA,74,648,333.191339,13,1188,antioch,GG,NA,NA,NA,in,NA,,,,,,,,,,
antiochGGNANANAinsfd,75,517,68.39106409,13,1188,antioch,GG,NA,NA,NA,in,sfd,,,,,,,,,,
antiochGGNANANAoutNA,76,2,0.529542434,13,1189,antioch,GG,NA,NA,NA,out,NA,,,,,,,,,,
antiochGGNANAppainNA,77,3,11.19359578,13,1189,antioch,GG,NA,NA,ppa,in,NA,,,,,,,,,,
antiochGGtra2aDISNAinNA,78,73,280.608853,13,1184,antioch,GG,tra2a,DIS,NA,in,NA,,,,,,,,,,
antiochGGtra2aDISNAinsfd,79,376,63.70545566,13,1187,antioch,GG,tra2a,DIS,NA,in,sfd,,,,,,,,,,
antiochGGtra3DISNAinNA,80,2,1.87022996,13,1187,antioch,GG,tra3,DIS,NA,in,NA,,,,,,,,,,
antiochGGtra3DISNAinsfd,81,47,6.52573752,13,1187,antioch,GG,tra3,DIS,NA,in,sfd,,,,,,,,,,
antiochGGtra3NANAinNA,82,1,4.281783461,13,1188,antioch,GG,tra3,NA,NA,in,NA,,,,,,,,,,
antiochNANADISNAinNA,83,3394,8909.125935,13,1183,antioch,NA,NA,DIS,NA,in,NA,,,,,,,,,,
antiochNANADISNAinsfd,84,21130,3685.48727,13,1185,antioch,NA,NA,DIS,NA,in,sfd,,,,,,,,,,
antiochNANADISppainNA,85,65,309.371243,13,1183,antioch,NA,NA,DIS,ppa,in,NA,,,,,,,,,,
antiochNANADISppainsfd,86,5,5.4242299,13,1183,antioch,NA,NA,DIS,ppa,in,sfd,,,,,,,,,,
antiochNANANANAinNA,87,945,978.1777088,13,1188,antioch,NA,NA,NA,NA,in,NA,,,,,,,,,,
antiochNANANANAinsfd,88,3539,533.3623441,13,1191,antioch,NA,NA,NA,NA,in,sfd,,,,,,,,,,
antiochNANANAppainNA,89,30,104.3607349,13,1188,antioch,NA,NA,NA,ppa,in,NA,,,,,,,,,,
antiochNAtra2aDISNAinNA,90,23,36.96486037,13,1184,antioch,NA,tra2a,DIS,NA,in,NA,,,,,,,,,,
antiochNAtra2aDISNAinsfd,91,233,42.27893023,13,1184,antioch,NA,tra2a,DIS,NA,in,sfd,,,,,,,,,,
antiochNAtra3DISNAinNA,92,4,16.48544821,13,1178,antioch,NA,tra3,DIS,NA,in,NA,,,,,,,,,,
antiochNAtra3DISNAinsfd,93,7,1.526311972,13,1178,antioch,NA,tra3,DIS,NA,in,sfd,,,,,,,,,,
athertonGGNAHRANAinNA,94,11,53.29569767,81,339,atherton,GG,NA,HRA,NA,in,NA,,,,,,,,,,
athertonGGNAHRANAinsfd,95,157,145.6082112,81,339,atherton,GG,NA,HRA,NA,in,sfd,,,,,,,,,,
athertonGGtra2bHRANAinsfd,96,41,40.73933655,81,339,atherton,GG,tra2b,HRA,NA,in,sfd,,,,,,,,,,
athertonGGtra2bNANAinsfd,97,28,15.62310156,81,342,atherton,GG,tra2b,NA,NA,in,sfd,,,,,,,,,,
athertonGGtra3HRANAinNA,98,33,18.74044146,81,339,atherton,GG,tra3,HRA,NA,in,NA,,,,,,,,,,
athertonGGtra3HRANAinsfd,99,369,232.6040545,81,339,atherton,GG,tra3,HRA,NA,in,sfd,,,,,,,,,,
athertonGGtra3NANAinNA,100,4,17.28984004,81,342,atherton,GG,tra3,NA,NA,in,NA,,,,,,,,,,
athertonGGtra3NANAinsfd,101,139,88.97620008,81,342,atherton,GG,tra3,NA,NA,in,sfd,,,,,,,,,,
athertonNANAHRANAinNA,102,21,25.7305756,81,339,atherton,NA,NA,HRA,NA,in,NA,,,,,,,,,,
athertonNANAHRANAinsfd,103,371,352.765985,81,339,atherton,NA,NA,HRA,NA,in,sfd,,,,,,,,,,
athertonNANANANAinNA,104,77,276.243995,81,342,atherton,NA,NA,NA,NA,in,NA,,,,,,,,,,
athertonNANANANAinsfd,105,1048,1260.789238,81,342,atherton,NA,NA,NA,NA,in,sfd,,,,,,,,,,
athertonNAtra3HRANAinNA,106,1,21.7634198,81,339,atherton,NA,tra3,HRA,NA,in,NA,,,,,,,,,,
athertonNAtra3HRANAinsfd,107,4,3.118893336,81,339,atherton,NA,tra3,HRA,NA,in,sfd,,,,,,,,,,
athertonNAtra3NANAinNA,108,7,48.83515774,81,342,atherton,NA,tra3,NA,NA,in,NA,,,,,,,,,,
athertonNAtra3NANAinsfd,109,277,284.905705,81,342,atherton,NA,tra3,NA,NA,in,sfd,,,,,,,,,,
belmontGGtra2bHRADISNAinNA,110,102,41.95898429,81,287,belmont,GG,tra2b,HRADIS,NA,in,NA,,,,,,,,,,
belmontGGtra2bHRADISNAinsfd,111,201,31.96195482,81,287,belmont,GG,tra2b,HRADIS,NA,in,sfd,,,,,,,,,,
belmontGGtra2bHRANAinNA,112,267,108.3904523,81,286,belmont,GG,tra2b,HRA,NA,in,NA,,,,,,,,,,
belmontGGtra2bHRANAinsfd,113,356,69.83053531,81,275,belmont,GG,tra2b,HRA,NA,in,sfd,,,,,,,,,,
belmontGGtra3HRADISNAinNA,114,32,8.842244689,81,287,belmont,GG,tra3,HRADIS,NA,in,NA,,,,,,,,,,
belmontGGtra3HRADISNAinsfd,115,118,20.69349386,81,287,belmont,GG,tra3,HRADIS,NA,in,sfd,,,,,,,,,,
belmontGGtra3HRANAinNA,116,118,43.57543996,81,286,belmont,GG,tra3,HRA,NA,in,NA,,,,,,,,,,
belmontGGtra3HRANAinsfd,117,439,68.04638434,81,275,belmont,GG,tra3,HRA,NA,in,sfd,,,,,,,,,,
belmontNANAHRADISNAinNA,118,66,342.9846477,81,288,belmont,NA,NA,HRADIS,NA,in,NA,,,,,,,,,,
belmontNANAHRADISNAinsfd,119,675,167.4396905,81,287,belmont,NA,NA,HRADIS,NA,in,sfd,,,,,,,,,,
belmontNANAHRANAinNA,120,322,262.6137534,81,289,belmont,NA,NA,HRA,NA,in,NA,,,,,,,,,,
belmontNANAHRANAinsfd,121,1637,290.1350156,81,286,belmont,NA,NA,HRA,NA,in,sfd,,,,,,,,,,
belmontNAtra2bHRADISNAinNA,122,3,17.6053965,81,287,belmont,NA,tra2b,HRADIS,NA,in,NA,,,,,,,,,,
belmontNAtra2bHRADISNAinsfd,123,16,4.595973967,81,287,belmont,NA,tra2b,HRADIS,NA,in,sfd,,,,,,,,,,
belmontNAtra2bHRANAinNA,124,89,18.95248651,81,275,belmont,NA,tra2b,HRA,NA,in,NA,,,,,,,,,,
belmontNAtra2bHRANAinsfd,125,168,25.83302058,81,275,belmont,NA,tra2b,HRA,NA,in,sfd,,,,,,,,,,
belmontNAtra3HRADISNAinNA,126,102,225.9522397,81,287,belmont,NA,tra3,HRADIS,NA,in,NA,,,,,,,,,,
belmontNAtra3HRADISNAinsfd,127,784,200.0777706,81,288,belmont,NA,tra3,HRADIS,NA,in,sfd,,,,,,,,,,
belmontNAtra3HRANAinNA,128,280,105.5233134,81,289,belmont,NA,tra3,HRA,NA,in,NA,,,,,,,,,,
belmontNAtra3HRANAinsfd,129,2053,363.0492288,81,289,belmont,NA,tra3,HRA,NA,in,sfd,,,,,,,,,,
belvedereGGNAHRANAinNA,130,1,0.776826095,41,1447,belvedere,GG,NA,HRA,NA,in,NA,,,,,,,,,,
belvedereGGNAHRANAinsfd,131,35,6.457792855,41,1447,belvedere,GG,NA,HRA,NA,in,sfd,,,,,,,,,,
belvedereGGtra3HRANAinNA,132,46,20.91853056,41,1447,belvedere,GG,tra3,HRA,NA,in,NA,,,,,,,,,,
belvedereGGtra3HRANAinsfd,133,215,35.03914419,41,1447,belvedere,GG,tra3,HRA,NA,in,sfd,,,,,,,,,,
belvedereGGtra3HRANAoutsfd,134,1,0.406929244,41,1447,belvedere,GG,tra3,HRA,NA,out,sfd,,,,,,,,,,
belvedereNANAHRANAinNA,135,18,8.907463228,41,1447,belvedere,NA,NA,HRA,NA,in,NA,,,,,,,,,,
belvedereNANAHRANAinsfd,136,212,83.24346703,41,1447,belvedere,NA,NA,HRA,NA,in,sfd,,,,,,,,,,
belvedereNANANANAinsfd,137,1,0.424215511,41,1447,belvedere,NA,NA,NA,NA,in,sfd,,,,,,,,,,
belvedereNAtra3HRANAinNA,138,37,15.309556,41,1447,belvedere,NA,tra3,HRA,NA,in,NA,,,,,,,,,,
belvedereNAtra3HRANAinsfd,139,390,157.8952677,41,1447,belvedere,NA,tra3,HRA,NA,in,sfd,,,,,,,,,,
beniciaGGNANANAinNA,140,393,95.57614001,95,1211,benicia,GG,NA,NA,NA,in,NA,,,,,,,,,,
beniciaGGNANANAinsfd,141,192,31.65674024,95,1212,benicia,GG,NA,NA,NA,in,sfd,,,,,,,,,,
beniciaNANADISNAinNA,142,597,1654.519755,95,1214,benicia,NA,NA,DIS,NA,in,NA,,,,,,,,,,
beniciaNANADISNAinsfd,143,2302,517.1640185,95,1217,benicia,NA,NA,DIS,NA,in,sfd,,,,,,,,,,
beniciaNANADISNAoutNA,144,1,0.468937378,95,1220,benicia,NA,NA,DIS,NA,out,NA,,,,,,,,,,
beniciaNANADISppainNA,145,26,81.54486595,95,1217,benicia,NA,NA,DIS,ppa,in,NA,,,,,,,,,,
beniciaNANAHRADISNAinNA,146,642,434.7652007,95,1216,benicia,NA,NA,HRADIS,NA,in,NA,,,,,,,,,,
beniciaNANAHRADISNAinsfd,147,695,145.9006848,95,1216,benicia,NA,NA,HRADIS,NA,in,sfd,,,,,,,,,,
beniciaNANAHRANAinNA,148,2,0.18491361,95,1216,benicia,NA,NA,HRA,NA,in,NA,,,,,,,,,,
beniciaNANANANAinNA,149,1770,2299.911049,95,1211,benicia,NA,NA,NA,NA,in,NA,,,,,,,,,,
beniciaNANANANAinsfd,150,3451,663.2500281,95,1211,benicia,NA,NA,NA,NA,in,sfd,,,,,,,,,,
beniciaNANANANAoutNA,151,8,408.0221009,95,1211,benicia,NA,NA,NA,NA,out,NA,,,,,,,,,,
beniciaNANANAppainNA,152,422,1279.320485,95,1211,benicia,NA,NA,NA,ppa,in,NA,,,,,,,,,,
beniciaNANANAppaoutNA,153,4,9.400025196,95,1211,benicia,NA,NA,NA,ppa,out,NA,,,,,,,,,,
berkeleyGGNAHRADISNAinNA,154,35,7.095291117,1,1029,berkeley,GG,NA,HRADIS,NA,in,NA,,,,,,,,,,
berkeleyGGNAHRADISNAinsfd,155,682,105.0350631,1,1031,berkeley,GG,NA,HRADIS,NA,in,sfd,,,,,,,,,,
berkeleyGGNAHRANAinNA,156,152,21.94964122,1,1012,berkeley,GG,NA,HRA,NA,in,NA,,,,,,,,,,
berkeleyGGNAHRANAinsfd,157,506,66.4126862,1,1030,berkeley,GG,NA,HRA,NA,in,sfd,,,,,,,,,,
berkeleyGGtra2aDISNAinNA,158,702,174.3203409,1,1009,berkeley,GG,tra2a,DIS,NA,in,NA,,,,,,,,,,
berkeleyGGtra2aDISNAinsfd,159,145,15.72827875,1,1015,berkeley,GG,tra2a,DIS,NA,in,sfd,,,,,,,,,,
berkeleyGGtra2aHRADISNAinNA,160,721,113.3286704,1,1022,berkeley,GG,tra2a,HRADIS,NA,in,NA,,,,,,,,,,
berkeleyGGtra2aHRADISNAinsfd,161,415,41.63036936,1,1022,berkeley,GG,tra2a,HRADIS,NA,in,sfd,,,,,,,,,,
berkeleyGGtra2aHRANAinNA,162,2474,388.7301608,1,1016,berkeley,GG,tra2a,HRA,NA,in,NA,,,,,,,,,,
berkeleyGGtra2aHRANAinsfd,163,2363,231.4366986,1,1024,berkeley,GG,tra2a,HRA,NA,in,sfd,,,,,,,,,,
berkeleyGGtra2aNANAinNA,164,312,136.3842341,1,1014,berkeley,GG,tra2a,NA,NA,in,NA,,,,,,,,,,
berkeleyGGtra2aNANAinsfd,165,41,6.931819467,1,1014,berkeley,GG,tra2a,NA,NA,in,sfd,,,,,,,,,,
berkeleyGGtra3DISNAinNA,166,1075,201.8905106,1,1020,berkeley,GG,tra3,DIS,NA,in,NA,,,,,,,,,,
berkeleyGGtra3DISNAinsfd,167,262,31.01145288,1,1006,berkeley,GG,tra3,DIS,NA,in,sfd,,,,,,,,,,
berkeleyGGtra3HRADISNAinNA,168,761,132.5402989,1,1027,berkeley,GG,tra3,HRADIS,NA,in,NA,,,,,,,,,,
berkeleyGGtra3HRADISNAinsfd,169,1534,211.7867664,1,1027,berkeley,GG,tra3,HRADIS,NA,in,sfd,,,,,,,,,,
berkeleyGGtra3HRANAinNA,170,2437,368.6166333,1,1026,berkeley,GG,tra3,HRA,NA,in,NA,,,,,,,,,,
berkeleyGGtra3HRANAinsfd,171,5475,606.2293753,1,1004,berkeley,GG,tra3,HRA,NA,in,sfd,,,,,,,,,,
berkeleyGGtra3NANAinNA,172,1140,367.9731398,1,1010,berkeley,GG,tra3,NA,NA,in,NA,,,,,,,,,,
berkeleyGGtra3NANAinsfd,173,587,61.35737757,1,1010,berkeley,GG,tra3,NA,NA,in,sfd,,,,,,,,,,
berkeleyNANADISNAinNA,174,5,1.811934292,1,1005,berkeley,NA,NA,DIS,NA,in,NA,,,,,,,,,,
berkeleyNANADISNAinsfd,175,18,4.255548162,1,1030,berkeley,NA,NA,DIS,NA,in,sfd,,,,,,,,,,
berkeleyNANAHRADISNAinNA,176,251,74.76092333,1,1029,berkeley,NA,NA,HRADIS,NA,in,NA,,,,,,,,,,
berkeleyNANAHRADISNAinsfd,177,986,175.8752734,1,1029,berkeley,NA,NA,HRADIS,NA,in,sfd,,,,,,,,,,
berkeleyNANAHRADISNAoutNA,178,1,16.73294572,13,1044,berkeley,NA,NA,HRADIS,NA,out,NA,,,,,,,,,,
berkeleyNANAHRANAinNA,179,74,28.72454307,1,1004,berkeley,NA,NA,HRA,NA,in,NA,,,,,,,,,,
berkeleyNANAHRANAinsfd,180,1892,336.0499111,1,1030,berkeley,NA,NA,HRA,NA,in,sfd,,,,,,,,,,
berkeleyNANANANAinNA,181,14,76.0736382,1,1014,berkeley,NA,NA,NA,NA,in,NA,,,,,,,,,,
berkeleyNANANANAoutNA,182,10,4728.572902,1,1014,berkeley,NA,NA,NA,NA,out,NA,,,,,,,,,,
berkeleyNAtra2aDISNAinNA,183,1,0.494939026,1,1015,berkeley,NA,tra2a,DIS,NA,in,NA,,,,,,,,,,
berkeleyNAtra2aHRADISNAinNA,184,8,8.953321302,1,1022,berkeley,NA,tra2a,HRADIS,NA,in,NA,,,,,,,,,,
berkeleyNAtra2aHRADISNAinsfd,185,1,0.04933032,1,1022,berkeley,NA,tra2a,HRADIS,NA,in,sfd,,,,,,,,,,
berkeleyNAtra2aHRANAinNA,186,19,13.25189509,1,1024,berkeley,NA,tra2a,HRA,NA,in,NA,,,,,,,,,,
berkeleyNAtra2aNANAinNA,187,8,72.92261636,1,1014,berkeley,NA,tra2a,NA,NA,in,NA,,,,,,,,,,
berkeleyNAtra2aNANAoutNA,188,2,107.0394118,1,1014,berkeley,NA,tra2a,NA,NA,out,NA,,,,,,,,,,
berkeleyNAtra3DISNAinNA,189,455,129.7967638,1,1020,berkeley,NA,tra3,DIS,NA,in,NA,,,,,,,,,,
berkeleyNAtra3DISNAinsfd,190,317,49.79769911,1,1007,berkeley,NA,tra3,DIS,NA,in,sfd,,,,,,,,,,
berkeleyNAtra3HRADISNAinNA,191,47,429.9042441,1,1006,berkeley,NA,tra3,HRADIS,NA,in,NA,,,,,,,,,,
berkeleyNAtra3HRADISNAinsfd,192,38,7.24241932,1,1029,berkeley,NA,tra3,HRADIS,NA,in,sfd,,,,,,,,,,
berkeleyNAtra3HRANAinNA,193,27,21.20741163,1,1028,berkeley,NA,tra3,HRA,NA,in,NA,,,,,,,,,,
berkeleyNAtra3HRANAinsfd,194,228,43.5579251,1,1028,berkeley,NA,tra3,HRA,NA,in,sfd,,,,,,,,,,
berkeleyNAtra3NANAinNA,195,62,150.4695562,1,1014,berkeley,NA,tra3,NA,NA,in,NA,,,,,,,,,,
berkeleyNAtra3NANAinsfd,196,1,0.092744546,1,993,berkeley,NA,tra3,NA,NA,in,sfd,,,,,,,,,,
berkeleyNAtra3NANAoutNA,197,3,10.09348754,1,1014,berkeley,NA,tra3,NA,NA,out,NA,,,,,,,,,,
brentwoodGGNADISNAinNA,198,56,145.4879405,13,1179,brentwood,GG,NA,DIS,NA,in,NA,,,,,,,,,,
brentwoodGGNADISNAinsfd,199,28,37.02650437,13,1179,brentwood,GG,NA,DIS,NA,in,sfd,,,,,,,,,,
brentwoodGGNANANAinNA,200,42,89.00799255,13,1179,brentwood,GG,NA,NA,NA,in,NA,,,,,,,,,,
brentwoodGGNANANAinsfd,201,21,7.542348983,13,1179,brentwood,GG,NA,NA,NA,in,sfd,,,,,,,,,,
brentwoodGGtra3DISNAinNA,202,68,337.380243,13,1178,brentwood,GG,tra3,DIS,NA,in,NA,,,,,,,,,,
brentwoodGGtra3DISNAinsfd,203,7,15.89759566,13,1178,brentwood,GG,tra3,DIS,NA,in,sfd,,,,,,,,,,
brentwoodGGtra3NANAinNA,204,135,40.23410064,13,1179,brentwood,GG,tra3,NA,NA,in,NA,,,,,,,,,,
brentwoodGGtra3NANAinsfd,205,46,7.203476975,13,1179,brentwood,GG,tra3,NA,NA,in,sfd,,,,,,,,,,
brentwoodNANADISNAinNA,206,2424,3464.418191,13,1179,brentwood,NA,NA,DIS,NA,in,NA,,,,,,,,,,
brentwoodNANADISNAinsfd,207,11931,2377.18182,13,1179,brentwood,NA,NA,DIS,NA,in,sfd,,,,,,,,,,
brentwoodNANADISNAoutNA,208,1,14.4170181,13,1179,brentwood,NA,NA,DIS,NA,out,NA,,,,,,,,,,
brentwoodNANANANAinNA,209,1108,652.6075364,13,1179,brentwood,NA,NA,NA,NA,in,NA,,,,,,,,,,
brentwoodNANANANAinsfd,210,1993,266.4217244,13,1179,brentwood,NA,NA,NA,NA,in,sfd,,,,,,,,,,
brentwoodNAtra3DISNAinNA,211,277,171.6093793,13,1178,brentwood,NA,tra3,DIS,NA,in,NA,,,,,,,,,,
brentwoodNAtra3DISNAinsfd,212,728,107.5517713,13,1178,brentwood,NA,tra3,DIS,NA,in,sfd,,,,,,,,,,
brentwoodNAtra3NANAinNA,213,54,77.32569885,13,1179,brentwood,NA,tra3,NA,NA,in,NA,,,,,,,,,,
