"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
9.975027,10.246964,10.183719,10.398403,10.409738,10.521033,10.772665,10.793456,11.099096,10.994829,10.669345,10.957138,10.933356,11.181466,11.190576,10.717507,10.977109,10.9921,11.202668,11.240712,0,1,0
9.691413,10.098896,10.102366,10.412786,10.400311,10.311209,10.761822,10.750576,11.023155,11.040932,10.455132,10.860964,10.862967,11.212116,11.193719,10.55934,10.910192,10.96051,11.226143,11.192684,1,1,1
9.751611,10.025946,10.171055,10.401009,10.410813,10.406609,10.759774,10.736163,11.060534,11.060851,10.540688,10.881048,10.912789,11.16969,11.166244,10.613141,10.980668,10.970167,11.226027,11.1933,2,1,2
9.991012,10.192319,10.213042,10.379838,10.444464,10.461537,10.744846,10.758319,11.037051,11.041185,10.661295,10.899863,10.915951,11.187099,11.160243,10.711348,10.959736,10.961365,11.219199,11.235291,3,2,0
9.718298,10.084486,10.140495,10.431679,10.443788,10.317812,10.7199,10.692752,11.020809,11.050237,10.434967,10.812746,10.844166,11.136527,11.159766,10.528896,10.930545,10.886791,11.194908,11.218682,4,2,1
9.736038,10.13774,10.112139,10.489648,10.409282,10.382787,10.717382,10.742758,11.043222,11.023343,10.531996,10.883179,10.872286,11.162053,11.114617,10.576864,10.92038,10.926946,11.192293,11.199343,5,2,2
9.828901,10.088243,10.097296,10.354856,10.343665,10.377144,10.608535,10.662431,10.889084,10.889174,10.551675,10.825551,10.83092,11.053958,11.055923,10.531705,10.862962,10.853175,11.07342,11.093035,6,3,0
9.54793,9.937539,9.967973,10.258251,10.330237,10.153655,10.583767,10.520144,10.959199,10.881357,10.342399,10.719226,10.741483,11.039371,11.047888,10.354816,10.779699,10.768909,11.076723,11.006039,7,3,1
9.639421,9.997221,10.074841,10.332337,10.320341,10.250893,10.587306,10.548875,10.869994,10.887262,10.36893,10.7535,10.752094,11.083857,11.010633,10.437587,10.769464,10.801386,11.095614,11.090725,8,3,2
10.04808,10.264146,10.281283,10.509604,10.531565,10.662972,10.856114,10.933336,11.115239,11.121968,10.753962,11.043777,11.014857,11.27517,11.273572,10.765804,11.032288,11.052429,11.273253,11.298166,9,4,0
9.81822,10.186533,10.203822,10.495045,10.536576,10.414375,10.754018,10.803407,11.146198,11.10182,10.530815,10.965203,10.937372,11.230586,11.255494,10.590454,10.963349,10.953324,11.319773,11.31812,10,4,1
9.811569,10.201134,10.238897,10.463766,10.46277,10.473132,10.83762,10.795777,11.099503,11.138165,10.568861,10.931459,10.94806,11.263781,11.259164,10.669717,11.008218,11.024676,11.313705,11.301646,11,4,2
9.757667,9.952963,10.040278,10.247353,10.271816,10.33581,10.612675,10.587355,10.851555,10.820389,10.513803,10.760573,10.807272,11.018998,11.043881,10.553154,10.781522,10.753058,11.014857,10.995133,12,5,0
9.517345,9.949232,9.919005,10.260878,10.283405,10.118067,10.539826,10.455067,10.884878,10.878588,10.298362,10.688067,10.673718,10.991328,11.0028,10.271514,10.71403,10.710434,11.036026,10.998604,13,5,1
