development_projects_id,raw_id,building_name,site_name,action,scen0,scen3,scen1,scen2,scen4,scen5,address,city,zip,county,x,y,geom_id,year_built,duration,building_type_id,building_type,building_sqft,non_residential_sqft,residential_units,unit_ave_sqft,tenure,rent_type,stories,parking_spaces,Average Weighted Rent,rent_ave_sqft,rent_ave_unit,last_sale_year,last_sale_price,source,apn
2053,10163,0,,build,1,1,1,1,1,1,1110 Jackson St.,Oakland,,Alameda,-122.2659803,37.80025371,11968136935350,2015,,,HM,85200.0,0.0,71.0,,,,,,,,,,,ABAG,Oakland-002 008100700
2054,10164,0,,build,1,1,1,1,1,1,1900 Broadway,Oakland,,Alameda,-122.2685272,37.80782206,745144567480,2015,,,MR,363800.0,11000.0,294.0,,,,,,,,,,,ABAG,Oakland-008 063800500
2055,10165,0,,build,1,1,1,1,1,1,3431 Foothill Blvd.,Oakland,,Alameda,-122.2203142,37.78198191,5498647479739,2015,,,HM,164400.0,0.0,137.0,,,,,,,,,,,ABAG,Oakland-033 212701501
2056,10166,0,,build,1,1,1,1,1,1,2400 Filbert St.,Oakland,,Alameda,-122.2796008,37.81681889,9621248480104,2015,,,HM,66000.0,0.0,55.0,,,,,,,,,,,ABAG,Oakland-005 043301805
2057,10167,0,,build,1,1,1,1,1,1,SE/c N. 1st & Hwy 237,San Jose,,Santa Clara,-121.8166441,37.27855567,14112903426942,2011,,,HO,99000.0,99000.0,0.0,,,,,,,,,,,ABAG,San Jose-68410099
2058,10168,0,,build,1,1,1,1,1,1,W/s Lincoln 500' sly Auzerais,San Jose,,Santa Clara,-121.909255,37.32065408,5607842674649,2014,,,HM,228000.0,0.0,190.0,,,,,,,,,,,ABAG,San Jose-26409042
2059,10169,0,,build,1,1,1,1,1,1,W/s McCreery  230' sly Alum Rock,San Jose,,Santa Clara,-121.8518512,37.35415528,4176196250914,2011,,,HM,111600.0,0.0,93.0,,,,,,,,,,,ABAG,San Jose-48118068
2060,10170,0,,build,1,1,1,1,1,1,NW/c N. 1st & Taylor,San Jose,,Santa Clara,-121.9008773,37.34929743,5573783329618,2012,,,HM,519600.0,0.0,433.0,,,,,,,,,,,ABAG,San Jose-25905063
2061,10171,0,,build,1,1,1,1,1,1,W/s Monterey  300' sly Umbarger,San Jose,,Santa Clara,-121.8517026,37.30016403,4800333229336,2013,,,HM,237600.0,0.0,198.0,,,,,,,,,,,ABAG,Unincorporated Santa Clara-49738016
2062,10172,0,,build,0,0,0,0,0,0,NW/c Hwy 237 & N 1st,San Jose,,Santa Clara,-121.963673,37.4204145,8427700634015,2014,,,HO,106000.0,106000.0,0.0,,,,,,,,,,,ABAG,San Jose-1539046
2063,10173,0,,build,0,0,0,0,0,0,NW/c N. 1st & Hwy 237,San Jose,,Santa Clara,-121.963673,37.4204145,8427700634015,2013,,,IL,615000.0,615000.0,0.0,,,,,,,,,,,ABAG,San Jose-1539046
2064,10174,0,,build,1,1,1,1,1,1,SW/c N. Capitol & Mabury,San Jose,,Santa Clara,-121.8514902,37.37746042,96233024879,2011,,,HM,92400.0,0.0,77.0,,,,,,,,,,,ABAG,San Jose-25406049
2065,10175,0,,build,1,1,1,1,1,1,SE/c W San Carlos & Sunol,San Jose,,Santa Clara,-121.9052363,37.32316395,5996765447595,2014,,,HM,378000.0,0.0,315.0,,,,,,,,,,,ABAG,San Jose-26415040
2066,10176,0,,build,0,0,0,0,0,0,SE/c Winchester & Olsen,San Jose,,Santa Clara,-121.9490485,37.31876637,14855056820769,2012,,,RS,230000.0,230000.0,0.0,,,,,,,,,,,ABAG,San Jose-27740025
2067,10177,0,,build,0,0,0,0,0,0,2017 San Ramon Valley Blvd,San Ramon,,Contra Costa,-121.9809127,37.78447139,16838778043630,2015,,,RS,17000.0,17000.0,0.0,,,,,,,,,,,ABAG,San Ramon-23061
2068,10178,Sunset Development,,build,1,1,1,1,1,1,Intersection of Bollinger Canyon Rd. and Camino Ramon,San Ramon,,Contra Costa,-121.9567409,37.76419692,2664748939362,2020,,,MR,2836800.0,2250000.0,489.0,,,,,,,,,,,ABAG,San Ramon-14017
2069,10179,KB Homes,,build,1,1,1,1,1,1,4700 Norris Canyon Road,San Ramon,,Contra Costa,-121.9632286,37.77648336,2361896639270,2015,,,HM,150000.0,0.0,125.0,,,,,,,,,,,ABAG,San Ramon-20071
2070,10180,0,,build,1,1,1,1,1,1,3925 Saint Andrews Dr,Santa Rosa,,Sonoma,-122.7173155,38.49938697,15480823444532,2015,,,HS,36000.0,0.0,30.0,,,,,,,,,,,ABAG,Santa Rosa-173-650-020
2071,10181,0,,build,1,1,1,1,1,1,4055 4025 4041 4099 Sebastopol Rd,Santa Rosa,,Sonoma,-122.7685803,38.42517089,10304052954436,2015,,,HT,190078.0,23278.0,139.0,,,,,,,,,,,ABAG,Santa Rosa-035-063-003
2072,10182,0,,build,1,1,1,1,1,1,908 918 922 Aston Ave,Santa Rosa,,Sonoma,-122.7044339,38.42542388,7191046853343,2015,,,HT,39600.0,0.0,33.0,,,,,,,,,,,ABAG,Santa Rosa-038-201-019
