juris,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
Livermore,28989.0,77514.0,4031.0,4006.0,7120.0,13832.0,23939.0,5346.0,39779.0,188.0,7481.0,4423.0,11703.0,7550.0,8434.0,0.605476419232,30050001.0,755.42374117
Hayward,45602.0,141210.0,9677.0,10399.0,12497.0,13029.0,28157.0,17380.0,61269.0,35.0,20241.0,6160.0,9214.0,12708.0,12911.0,0.809780871542,64880934.0,1058.95206385
Sonoma County,55802.0,136842.0,11946.0,11653.0,13994.0,18209.0,55319.0,10521.0,36627.0,2585.0,8936.0,3916.0,6360.0,7833.0,6997.0,0.504365588677,29599557.0,808.134900483
Fremont,70252.0,204035.0,9164.0,9279.0,17608.0,34201.0,48132.0,20736.0,87414.0,109.0,29564.0,7467.0,20160.0,17927.0,12187.0,0.729784758581,73654600.0,842.595007665
Pleasanton,25089.0,70439.0,2530.0,2921.0,5162.0,14476.0,18208.0,6435.0,58220.0,157.0,9314.0,11898.0,16713.0,8502.0,11636.0,0.688955404218,31733370.0,545.059601512
Dublin,15017.0,39519.0,1310.0,1861.0,3620.0,8226.0,11810.0,2190.0,17213.0,48.0,2480.0,3214.0,3923.0,3236.0,4312.0,0.635774767146,12869058.0,747.635972811
San Ramon,24653.0,65156.0,1476.0,2023.0,4017.0,17137.0,20759.0,4823.0,43175.0,706.0,4356.0,3908.0,9404.0,8156.0,16645.0,0.593790645021,16841028.0,390.064342791
Brentwood,16906.0,51625.0,2512.0,2761.0,4595.0,7038.0,16787.0,1230.0,10957.0,242.0,658.0,1708.0,2646.0,2951.0,2752.0,0.503544409364,6451216.0,588.775759788
Oakley,10687.0,33856.0,1421.0,1735.0,3217.0,4314.0,10980.0,487.0,2402.0,33.0,168.0,662.0,515.0,574.0,450.0,0.486657559199,1911400.0,795.753538718
Antioch,32306.0,99352.0,5553.0,5437.0,8728.0,12588.0,28545.0,6193.0,20428.0,32.0,1594.0,4572.0,3721.0,6667.0,3842.0,0.565878437555,16014855.0,783.965880164
Contra Costa County,55767.0,151698.0,9317.0,8752.0,12446.0,25252.0,48760.0,10746.0,41916.0,367.0,6499.0,5045.0,10224.0,10555.0,9226.0,0.57185192781,31874082.0,760.427569425
Napa County,9300.0,23201.0,1480.0,1686.0,1999.0,4135.0,10884.0,938.0,15374.0,1801.0,4963.0,1245.0,1711.0,3557.0,2097.0,0.427232635061,11924386.0,775.620267985
San Francisco,344041.0,769997.0,84448.0,62046.0,73481.0,124066.0,113170.0,263181.0,576850.0,651.0,47733.0,38113.0,190161.0,140973.0,159219.0,1.52001855615,398091216.0,690.112188611
San Mateo County,25346.0,68192.0,2688.0,3064.0,5060.0,14534.0,20963.0,5943.0,23730.0,263.0,5127.0,1837.0,5464.0,5236.0,5803.0,0.604541334733,16562985.0,697.976611884
Petaluma,21962.0,56464.0,3576.0,3973.0,5642.0,8771.0,18431.0,4571.0,29391.0,240.0,6547.0,4299.0,6889.0,6660.0,4756.0,0.595789702132,17339766.0,589.968561805
Santa Rosa,65050.0,167400.0,14389.0,14641.0,17024.0,18996.0,48168.0,20987.0,72804.0,362.0,10967.0,9527.0,14358.0,23286.0,14304.0,0.675240823783,45549969.0,625.652010879
Rohnert Park,14711.0,37310.0,2960.0,2991.0,3971.0,4789.0,9582.0,5851.0,13229.0,57.0,1667.0,1929.0,3025.0,4468.0,2083.0,0.767637236485,11387832.0,860.823342656
Mill Valley,5928.0,13289.0,835.0,830.0,975.0,3288.0,4874.0,1510.0,6156.0,19.0,428.0,671.0,1946.0,2086.0,1006.0,0.608124743537,3094035.0,502.604775828
Richmond,36750.0,105206.0,10699.0,8638.0,9002.0,8411.0,24946.0,15057.0,34299.0,353.0,9419.0,4033.0,5384.0,6154.0,8956.0,0.736591036639,31152035.0,908.249074317
