"taz","walk_subzone","walk_subzone_label","incQ","incQ_label","autoSuff","autoSuff_label","hasAV","num_persons","num_workers","num_workers_students"
1,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,48,16,19
1,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,5,5,5
1,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,30,5,6
1,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,6,4,4
1,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,5,5,5
1,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",1,2,2,2
1,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,12,6,6
1,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,1,1,1
1,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,3,2,2
1,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",1,2,2,2
1,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",1,2,2,2
1,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,1,1,1
1,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",1,4,4,4
2,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,139,30,58
2,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,106,18,37
2,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,17,5,9
2,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,26,13,16
2,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,2,2,2
2,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,62,17,29
2,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,11,5,7
2,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,18,11,15
2,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,12,7,11
2,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,8,5,7
2,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",1,3,2,3
2,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,9,7,7
2,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,8,8,8
2,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",1,14,13,14
2,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,25,12,17
2,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",1,18,8,12
3,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,250,72,101
3,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,62,15,18
3,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,102,62,72
3,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,13,6,10
3,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",1,6,2,4
3,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,21,12,14
