year,q1_households,q2_households,q3_households,q4_households
2010,711590,664489,579677,620657
2015,706436,649102,577085,743953
2020,697290,618266,640811,808276
2025,812245,657110,583960,898148
2030,881401,678713,633908,1014622
2035,974137,724575,679770,1116920
2040,1041580,755393,717872,1196493
2045,1094184,775676,752508,1263182
2050,1142781,788037,784056,1328812
