pda,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
sro1,2109.0,5457.0,662.0,554.0,506.0,387.0,1137.0,1141.0,8363.0,41.0,540.0,1614.0,2177.0,2004.0,1987.0,0.927440633245,6527950.0,780.575152457
hay2,2537.0,6239.0,712.0,683.0,635.0,507.0,602.0,1885.0,3864.0,0.0,257.0,405.0,1071.0,1086.0,1045.0,2.10714285714,3659969.0,947.19694617
mco1,3966.0,9162.0,848.0,695.0,696.0,1727.0,2404.0,1923.0,3898.0,19.0,159.0,424.0,1434.0,1164.0,698.0,0.824875207987,2153838.0,552.549512571
pet1,514.0,1151.0,111.0,110.0,149.0,144.0,222.0,329.0,3151.0,5.0,558.0,569.0,588.0,602.0,829.0,1.15765765766,1943611.0,616.82354808
ber1,349.0,760.0,138.0,76.0,67.0,68.0,36.0,328.0,1063.0,0.0,47.0,131.0,152.0,472.0,261.0,4.84722222222,645931.0,607.649106303
ric1,4354.0,14062.0,1674.0,1114.0,988.0,578.0,2220.0,2601.0,6546.0,18.0,814.0,379.0,566.0,1585.0,3184.0,0.980630630631,4763882.0,727.754659334
vac1,131.0,341.0,22.0,30.0,38.0,41.0,98.0,37.0,3060.0,1.0,73.0,148.0,834.0,1338.0,666.0,0.668367346939,1770755.0,578.678104575
sun1,904.0,2308.0,173.0,154.0,244.0,333.0,357.0,606.0,3064.0,3.0,1242.0,179.0,1076.0,313.0,251.0,1.26610644258,2842488.0,927.704960836
epa1,797.0,3578.0,162.0,135.0,237.0,263.0,657.0,191.0,1006.0,7.0,266.0,105.0,243.0,176.0,209.0,0.606544901065,815518.0,810.654075547
vta1_h,120.0,302.0,9.0,9.0,14.0,88.0,57.0,66.0,132.0,0.0,4.0,8.0,68.0,45.0,7.0,1.05263157895,47976.0,363.454545455
elc1_b,498.0,1152.0,119.0,126.0,141.0,112.0,82.0,444.0,2026.0,0.0,68.0,572.0,340.0,697.0,349.0,3.03658536585,1250664.0,617.307008885
sfo2,453.0,1383.0,70.0,79.0,107.0,197.0,187.0,288.0,4869.0,0.0,92.0,347.0,506.0,2893.0,1031.0,1.21122994652,3751808.0,770.550010269
