year,q1_households,q2_households,q3_households,q4_households
2010,711590,664489,579677,620657
2015,706436,649102,577085,743953
2020,697290,618266,640811,808276
2025,811846,657084,583680,898959
2030,881131,678758,633529,1015261
2035,973831,724576,679340,1117465
2040,1041258,755366,717449,1196962
2045,1093865,775635,752085,1263583
2050,1142494,788005,783652,1329161
