year,AGREMPN,MWTEMPN,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN
2010,27545,561534,636935,818157,867980,546126
2015,24826,628375,684164,985981,1095193,647692
2020,23048,545709,570665,980826,1007776,559237
2025,23157,550172,569116,1046522,1049234,567733
2030,22557,516303,540876,1071342,1038475,566073
2035,21321,454459,447344,1050365,981754,492767
2040,24644,523529,538684,1253758,1184047,578293
2045,26510,530936,554304,1373873,1282522,621712
2050,28400,532755,560712,1479755,1371740,628814
