serialno,puma1,asian,black,hisp,white
614711,40,0,0,0,1
616710,40,0,0,0,1
619227,40,0,0,0,1
620221,40,0,0,0,1
622818,40,0,0,0,1
623310,40,0,0,0,1
627939,40,0,0,0,1
629789,40,0,0,0,1
636138,40,0,0,1,0
637478,40,0,0,0,1
637655,40,0,0,0,1
639109,40,0,0,0,1
639513,40,0,0,0,1
640834,40,0,0,0,1
645947,40,0,0,0,1
646212,40,0,0,0,1
647864,40,0,0,0,1
652943,40,0,0,0,1
652997,40,0,0,0,1
654148,40,0,0,0,1
656338,40,0,0,1,1
657178,40,0,0,0,1
657399,40,0,0,0,1
658640,40,0,0,0,1
659279,40,0,0,0,1
660016,40,0,0,0,1
660051,40,0,0,0,1
661474,40,0,0,0,1
662358,40,0,0,0,1
662691,40,0,0,0,1
664590,40,0,0,0,1
665535,40,0,0,0,1
668150,40,0,0,0,1
669299,40,0,0,0,1
671840,40,0,0,0,1
672910,40,0,0,0,1
674382,40,0,0,1,1
684353,40,0,0,0,1
689786,40,0,0,0,1
691676,40,0,0,0,1
693987,40,0,0,0,1
697378,40,0,0,0,1
697415,40,0,0,0,1
703272,40,0,0,0,1
704128,40,0,0,0,1
704858,40,0,0,0,1
706824,40,0,0,0,0
707960,40,0,0,0,1
708211,40,0,0,0,1
708361,40,0,0,0,1
709310,40,0,0,0,1
711058,40,0,0,1,0
713426,40,0,0,0,1
715323,40,0,0,0,1
715793,40,0,0,0,1
717198,40,0,0,0,1
721231,40,0,0,1,0
723164,40,0,0,0,1
726449,40,0,0,0,1
730950,40,0,0,0,1
732154,40,0,0,0,1
735275,40,0,0,0,1
735573,40,0,0,1,0
735614,40,0,0,1,0
737403,40,0,0,0,1
739908,40,0,0,0,1
742276,40,0,0,0,1
749004,40,0,0,0,1
758141,40,0,0,0,1
759574,40,0,0,0,1
760778,40,0,0,0,1
761521,40,0,0,0,1
765129,40,0,0,0,1
777261,40,0,0,0,1
782750,40,0,0,0,1
785773,40,0,0,0,1
788539,40,0,0,1,1
791678,40,0,0,0,1
794777,40,0,0,0,1
794786,40,0,0,0,1
795556,40,0,0,0,1
797272,40,0,0,0,1
801558,40,0,0,0,1
804383,40,0,0,0,1
805103,40,0,0,0,1
811702,40,0,0,1,1
813172,40,0,0,0,1
815859,40,0,0,0,0
820710,40,0,0,0,1
821163,40,0,0,0,1
822114,40,0,0,0,1
823292,40,0,0,0,1
825904,40,0,0,0,1
830559,40,0,0,0,1
834776,40,0,0,0,1
837112,40,0,0,0,1
840115,40,0,0,0,1
844766,40,0,0,0,1
846063,40,0,0,0,1
849044,40,0,0,0,1
853432,40,0,0,0,1
853530,40,0,0,0,1
856406,40,0,0,1,1
857812,40,0,0,0,1
860057,40,0,0,0,1
861833,40,0,0,0,1
863091,40,0,0,1,1
863857,40,0,0,0,1
863863,40,0,0,0,1
866727,40,0,0,0,1
869176,40,0,0,0,1
873579,40,0,0,1,0
878198,40,0,0,0,1
888034,40,0,0,0,1
889406,40,0,0,0,1
896532,40,0,0,0,1
898461,40,0,0,0,1
910051,40,0,0,0,1
912404,40,0,0,0,1
913810,40,0,0,0,1
920716,40,0,0,0,1
922602,40,0,0,0,1
927842,40,0,0,1,0
930771,40,0,0,0,1
932322,40,0,0,0,1
932564,40,0,0,0,0
933767,40,0,0,0,1
935336,40,0,0,0,1
935849,40,0,0,0,1
938048,40,0,0,0,1
940577,40,0,0,1,0
945371,40,0,0,0,1
947863,40,0,0,1,1
950112,40,0,0,0,1
953025,40,0,0,0,1
953259,40,1,0,0,1
954633,40,0,0,0,1
962249,40,0,0,0,1
964875,40,0,0,0,1
965614,40,0,0,0,1
971251,40,0,0,0,1
976108,40,0,0,0,1
979039,40,0,0,0,1
982618,40,0,0,0,1
985435,40,0,0,0,1
987803,40,0,0,0,1
990950,40,0,0,0,1
991945,40,0,0,0,1
994875,40,0,0,0,1
1001965,40,0,0,0,1
1008190,40,0,0,1,0
1013917,40,0,0,0,1
1015688,40,0,0,0,0
1016451,40,0,0,0,1
1019772,40,0,0,0,1
1019901,40,0,0,0,1
1021465,40,0,0,1,0
1025003,40,0,0,0,1
1027787,40,0,0,0,1
1028973,40,0,0,0,1
1030132,40,0,0,0,1
1031062,40,0,0,1,0
1032706,40,0,0,0,1
1037479,40,0,0,1,1
1037853,40,0,0,0,1
1038107,40,0,0,0,1
1039584,40,0,0,0,1
1040761,40,0,0,0,1
1044964,40,0,0,0,1
1045275,40,0,0,0,1
1047662,40,0,0,1,0
1050199,40,0,0,0,1
1050794,40,0,0,0,1
1051303,40,0,0,0,1
1055614,40,0,0,0,1
1062809,40,0,0,0,1
1069900,40,0,0,0,1
1070339,40,0,0,0,1
1073681,40,0,0,0,1
1073716,40,0,0,0,1
1076376,40,0,0,0,1
1079126,40,0,0,1,1
1080818,40,0,0,0,1
1083207,40,0,0,0,1
1083781,40,0,0,0,1
1086064,40,0,0,0,1
1086770,40,0,0,0,1
1088213,40,0,0,0,1
1088723,40,0,0,0,1
1088876,40,0,0,0,1
1089273,40,0,0,0,1
1089448,40,0,0,0,1
1090235,40,0,0,0,1
1090941,40,0,0,0,1
1093606,40,0,0,0,1
1096082,40,0,0,0,1
1100229,40,0,0,0,1
1102641,40,0,0,0,1
1106864,40,0,0,0,1
1109338,40,0,0,0,1
1110796,40,0,0,0,1
1111430,40,0,0,0,1
1113241,40,0,0,0,1
1118375,40,0,0,1,0
1119210,40,0,0,0,1
1120232,40,0,0,0,1
1120822,40,0,0,0,1
1124124,40,1,0,0,0
1125401,40,0,0,0,1
1127767,40,0,0,0,1
1128825,40,0,0,0,1
1134977,40,0,0,0,1
1135569,40,0,0,0,1
1141245,40,0,0,1,0
1141721,40,0,0,0,1
1143382,40,0,0,0,1
1148595,40,0,0,0,1
1150944,40,0,0,0,1
1155760,40,0,0,0,1
1157452,40,0,0,0,1
1159019,40,0,0,0,1
1160401,40,0,0,0,1
1165607,40,0,0,0,1
1166062,40,0,0,1,0
1171435,40,0,0,0,1
1174305,40,0,0,0,1
1178366,40,0,0,0,1
1178697,40,1,0,0,1
1180021,40,0,0,0,1
1183378,40,0,0,0,1
1185015,40,0,0,0,1
1188481,40,0,0,0,1
1198209,40,0,0,0,1
1207697,40,0,0,0,1
1208257,40,0,0,0,1
1210034,40,0,0,0,1
1210545,40,0,0,0,1
1213004,40,0,0,0,1
1219449,40,0,0,0,1
1220846,40,0,0,0,1
1220874,40,0,0,0,1
1222308,40,0,0,0,1
1224284,40,0,0,0,1
1227461,40,0,0,0,1
1227942,40,0,0,0,1
1229287,40,0,0,0,1
1229383,40,0,0,0,1
1234422,40,0,0,0,1
1235104,40,0,0,1,0
1238905,40,0,0,0,1
1240950,40,0,0,0,1
1243873,40,0,0,0,1
1244717,40,0,0,0,1
1248302,40,0,0,0,1
1251205,40,0,0,0,1
1251571,40,0,0,0,1
1254234,40,0,0,0,1
1254650,40,0,0,0,1
1256712,40,0,0,0,1
1259094,40,0,0,0,1
1259327,40,0,0,0,1
1259559,40,0,0,0,1
1262744,40,0,0,0,1
1263561,40,0,0,0,1
1264232,40,0,0,0,1
1266538,40,0,0,0,1
1266963,40,0,0,0,1
1269143,40,0,0,0,1
1272376,40,1,0,0,0
1280683,40,0,0,0,1
1281173,40,0,0,1,0
1283540,40,0,0,0,1
1293177,40,0,0,0,1
1293639,40,0,0,0,1
1294334,40,0,0,0,1
1297820,40,0,0,0,1
1298534,40,0,0,0,1
