tmnode_id,embarcadero,pacheights,stanford
154,10.3389997482,75.0,75.0
155,10.3649997711,75.0,75.0
156,10.8789997101,75.0,75.0
157,11.3809995651,75.0,75.0
158,10.4440002441,75.0,75.0
159,11.8520002365,75.0,75.0
160,10.9449996948,75.0,75.0
161,10.7910003662,75.0,75.0
162,10.8850002289,75.0,75.0
163,14.2980003357,75.0,75.0
164,11.4549999237,75.0,75.0
165,10.1599998474,75.0,75.0
166,10.7709999084,75.0,75.0
167,10.9689998627,75.0,75.0
168,12.1960000992,75.0,75.0
169,11.7159996033,75.0,75.0
170,12.7980003357,10.8850002289,75.0
171,12.3409996033,9.99400043488,75.0
172,13.9060001373,10.3409996033,75.0
173,15.279999733,10.0860004425,75.0
174,13.5480003357,8.52200031281,75.0
175,12.017999649,6.992000103,75.0
176,13.2250003815,8.19900035858,75.0
177,13.9169998169,8.71199989319,75.0
178,15.3170003891,10.1120004654,75.0
179,16.7059993744,11.5010004044,75.0
180,16.8360004425,11.6309995651,75.0
181,17.4839992523,12.2790002823,75.0
182,17.3770008087,14.482000351,75.0
183,16.8710002899,13.1929998398,75.0
184,16.7740001678,11.5690002441,75.0
185,15.529999733,10.4870004654,75.0
186,16.1399993896,12.8420000076,75.0
187,14.2449998856,13.3070001602,75.0
188,13.1669998169,75.0,75.0
189,14.4879999161,75.0,75.0
190,15.454000473,75.0,75.0
191,13.6560001373,75.0,75.0
192,14.5649995804,75.0,75.0
193,15.2899999619,75.0,75.0
194,15.045999527,75.0,75.0
195,14.8009996414,75.0,75.0
196,15.7419996262,75.0,75.0
197,16.3169994354,75.0,75.0
198,15.0270004272,75.0,75.0
199,14.6599998474,75.0,75.0
200,15.8599996567,75.0,75.0
201,14.0209999084,75.0,75.0
202,13.6859998703,75.0,75.0
203,13.9560003281,75.0,75.0
204,12.1590003967,75.0,75.0
205,13.470000267,75.0,75.0
206,16.408000946,75.0,75.0
207,11.8140001297,75.0,75.0
208,14.4390001297,75.0,75.0
209,14.9289999008,75.0,75.0
210,13.8059997559,75.0,75.0
211,14.6840000153,75.0,75.0
212,16.9459991455,75.0,75.0
213,18.2259998322,75.0,75.0
214,17.6319999695,75.0,75.0
215,16.5400009155,75.0,75.0
216,17.3649997711,75.0,75.0
217,16.3880004883,75.0,75.0
218,18.3029994965,75.0,75.0
219,17.4340000153,75.0,75.0
220,17.6679992676,75.0,75.0
221,17.8199996948,75.0,75.0
222,17.4379997253,75.0,75.0
223,20.5550003052,75.0,75.0
224,20.236000061,75.0,75.0
225,21.8799991608,75.0,75.0
226,24.9020004272,75.0,75.0
227,28.8409996033,75.0,75.0
228,20.517999649,75.0,75.0
229,19.4090003967,75.0,75.0
230,17.9459991455,75.0,75.0
231,17.5030002594,75.0,75.0
232,19.6790008545,75.0,75.0
233,18.6480007172,75.0,75.0
234,17.8020000458,75.0,75.0
235,17.9449996948,75.0,75.0
236,18.3080005646,75.0,75.0
237,16.8829994202,75.0,75.0
238,15.5740003586,75.0,75.0
239,17.5049991608,75.0,75.0
240,19.5370006561,75.0,75.0
241,19.9239997864,75.0,75.0
242,20.3579998016,75.0,75.0
243,20.5629997253,75.0,75.0
244,19.9319992065,75.0,75.0
245,20.1030006409,75.0,75.0
246,21.3659992218,75.0,75.0
247,21.5259990692,75.0,75.0
248,20.6089992523,75.0,75.0
249,22.9260005951,75.0,75.0
250,22.2919998169,75.0,75.0
251,22.9179992676,75.0,75.0
252,25.6130008698,75.0,24.6499996185
253,25.5060005188,75.0,75.0
254,27.420999527,75.0,24.3029994965
255,26.142999649,75.0,21.7849998474
256,24.2019996643,75.0,23.0240001678
257,24.0690002441,75.0,23.2770004272
258,23.8129997253,75.0,75.0
259,22.4519996643,75.0,75.0
260,24.1380004883,75.0,23.3460006714
261,22.781999588,75.0,75.0
262,24.4699993134,75.0,22.5879993439
263,24.6970005035,75.0,22.3500003815
264,26.204000473,75.0,22.0270004272
