year,q1_households,q2_households,q3_households,q4_households
2010,681798,664489,579677,620657
2015,765458,682877,595053,703403
2020,808490,714482,666631,838762
2025,883831,765207,707315,932311
2030,948230,803846,760954,1035231
2035,1043421,859752,775970,1082920
2040,1016699,850817,908712,1294736
2045,1009605,856108,1027317,1529430
2050,1003327,860007,1144853,1763757
