eirzoningmodcat,modcat_id,FREQUENCY,SUM_ACRES,manual_county,juris,gg_id,tra_id,sesit_id,coc_id,ppa_id,exp2020_id,ex_res_bldg,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,res_rent_cat,job_out_cat
unincorporated_alamedaGGNAHRADISNANAinunNA,2179,38,59.39000329757689,1,unincorporated_alameda,GG,NA,HRADIS,NA,NA,inun,NA,,,,,0.0,0.0,,,
unincorporated_santa_claraNAtra3DISNANAinunNA,2180,22,382.84090697480974,85,unincorporated_santa_clara,NA,tra3,DIS,NA,NA,inun,NA,,,,,0.0,0.0,,,
san_joseGGtra3DISNANAoutNA,2181,2,0.1897666017131,85,san_jose,GG,tra3,DIS,NA,NA,out,NA,HM,,100.0,,0.0,0.0,,,
unincorporated_contra_costaNANANANANAexpmax_npNA,2182,76,876.3923960997798,13,unincorporated_contra_costa,NA,NA,NA,NA,NA,expmax_np,NA,,,,,0.0,0.0,,,
santa_claraNAtra3HRADISNANAinNA,2183,48,142.88540947942354,85,santa_clara,NA,tra3,HRADIS,NA,NA,in,NA,,,,,,,,,
sunnyvaleGGtra2bDISNANAinNA,2184,66,130.22601333483047,85,sunnyvale,GG,tra2b,DIS,NA,NA,in,NA,HM,,200.0,,,,,,
santa_claraGGtra3NACoCNAinNA,2185,64,70.94054913341989,85,santa_clara,GG,tra3,NA,CoC,NA,in,NA,HM,,100.0,,,,,,
dublinGGtra3HRANANAinNA,2186,33,29.195629288098463,1,dublin,GG,tra3,HRA,NA,NA,in,NA,HM,,100.0,,,,,,
alamedaNANANACoCppainNA,2187,2,3.038067987922,1,alameda,NA,NA,NA,CoC,ppa,in,NA,,,,,,,,,
oaklandGGtra3DISCoCNAinNA,2188,99,18.101686826720645,1,oakland,GG,tra3,DIS,CoC,NA,in,NA,HM,,100.0,,,,,,
berkeleyNAtra3NACoCNAinNA,2189,54,146.98652804050673,1,berkeley,NA,tra3,NA,CoC,NA,in,NA,,,,,,,,,
unincorporated_alamedaNANAHRANANAexp0res,2190,33,4.887822400692722,1,unincorporated_alameda,NA,NA,HRA,NA,NA,exp0,res,,,,,0.0,0.0,,,
emeryvilleGGtra3DISNANAinres,2191,12,3.159838862484,1,emeryville,GG,tra3,DIS,NA,NA,in,res,HM,,100.0,,,,,,
emeryvilleNAtra3NANANAinres,2192,12,0.9388369589781,1,emeryville,NA,tra3,NA,NA,NA,in,res,,,,,,,,,
piedmontGGNAHRADISNANAinNA,2193,20,10.010888325506198,1,piedmont,GG,NA,HRADIS,NA,NA,in,NA,,,,,,,,,
piedmontGGNAHRANANAinNA,2194,39,18.075652049074513,1,piedmont,GG,NA,HRA,NA,NA,in,NA,,,,,,,,,
berkeleyGGtra2aNANANAinres,2195,33,3.5098992054972995,1,berkeley,GG,tra2a,NA,NA,NA,in,res,HM,,250.0,,,,,,
berkeleyGGtra3DISCoCNAinres,2196,239,29.109084539740397,1,berkeley,GG,tra3,DIS,CoC,NA,in,res,HM,,100.0,,,,,,
berkeleyNANANACoCNAinNA,2197,14,76.07363819715498,1,berkeley,NA,NA,NA,CoC,NA,in,NA,,,,,,,,,
berkeleyNAtra3HRADISNANAinres,2198,54,10.093828649768207,1,berkeley,NA,tra3,HRADIS,NA,NA,in,res,,,,,,,,,
berkeleyNANADISNANAinres,2199,19,4.3446957451276,1,berkeley,NA,NA,DIS,NA,NA,in,res,,,,,,,,,
berkeleyNANAHRANANAinNA,2200,39,22.967407662820698,1,berkeley,NA,NA,HRA,NA,NA,in,NA,,,,,,,,,
albanyNANAHRANANAinNA,2201,4,40.5951252358,1,albany,NA,NA,HRA,NA,NA,in,NA,,,,,,,,,
albanyGGtra3NANANAinNA,2202,8,100.8861464288268,1,albany,GG,tra3,NA,NA,NA,in,NA,HM,,100.0,,,,,,
albanyGGtra2aHRANANAinres,2203,308,34.05806382355089,1,albany,GG,tra2a,HRA,NA,NA,in,res,HM,,250.0,,,,,,
albanyGGtra2aNANANAinres,2204,2,0.13223258632637,1,albany,GG,tra2a,NA,NA,NA,in,res,HM,,250.0,,,,,,
alamedaNANADISNANAinres,2205,50,17.737794524746693,1,alameda,NA,NA,DIS,NA,NA,in,res,,,,,,,,,
alamedaNANANACoCNAinres,2206,33,19.170894139895502,1,alameda,NA,NA,NA,CoC,NA,in,res,,,,,,,,,
alamedaNANAHRANANAinres,2207,7,5.610111413523,1,alameda,NA,NA,HRA,NA,NA,in,res,,,,,,,,,
alamedaNAtra3DISNANAinres,2208,28,14.050343345652196,1,alameda,NA,tra3,DIS,NA,NA,in,res,,,,,,,,,
alamedaNAtra3HRADISNANAinres,2209,146,16.424653333461194,1,alameda,NA,tra3,HRADIS,NA,NA,in,res,,,,,,,,,
alamedaNANAHRANANAinNA,2210,46,219.83894221389394,1,alameda,NA,NA,HRA,NA,NA,in,NA,,,,,,,,,
san_leandroGGtra3NACoCppainNA,2211,26,80.78585822627771,1,san_leandro,GG,tra3,NA,CoC,ppa,in,NA,IW,HM,100.0,2.0,,,,,
san_leandroGGNANACoCNAinNA,2212,10,9.801970441150178,1,san_leandro,GG,NA,NA,CoC,NA,in,NA,,,,,,,,,
union_cityNANANANAppainNA,2213,32,72.829713760276,1,union_city,NA,NA,NA,NA,ppa,in,NA,,,,,,,,,
unincorporated_alamedaGGtra1NANANAinunNA,2214,63,39.32341025977662,1,unincorporated_alameda,GG,tra1,NA,NA,NA,inun,NA,HM,,300.0,9.0,0.0,0.0,,,
