year,AGREMPN,MWTEMPN,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN
2010,27545,561534,636935,818157,867980,546126
2015,24826,628375,684164,985981,1095193,647692
2020,24425,622306,720309,1088594,1214069,668268
2025,22548,600814,737246,1141358,1277079,671350
2030,20801,580283,731583,1178057,1311300,669152
2035,19724,586027,737950,1242653,1386601,686063
2040,18736,589933,743383,1305840,1464512,718363
2045,17859,586096,745925,1363306,1537338,751696
2050,17258,575319,746669,1416653,1608858,786765
