year,q1_households,q2_households,q3_households,q4_households
2010,681798,664489,579677,620657
2015,750644,682855,599792,713499
2020,806428,716661,668187,839533
2025,882745,767695,709399,936565
2030,950659,805871,763532,1040777
2035,1038366,861397,782162,1097491
2040,1041345,852336,908179,1291489
2045,1060447,858262,1022029,1509916
2050,1078364,863197,1136334,1728753
