year,q1_households,q2_households,q3_households,q4_households
2010,681798,664489,579677,620657
2015,750644,682855,599792,713499
2020,823318,726830,536920,703153
2025,868077,748557,529925,706224
2030,918284,770664,518210,707670
2035,971271,794010,472222,690023
2040,963875,770253,534672,765246
2045,980419,770930,577485,850722
2050,996584,771219,605726,917175
