year,q1_households,q2_households,q3_households,q4_households
2010,698500,681300,593600,635600
2015,765458,682877,595053,703403
2020,766426,672489,654226,843207
2025,800434,683601,701675,922444
2030,835994,693634,746329,996867
2035,895588,715183,756513,1020636
2040,857894,686869,868047,1183110
2045,844616,675891,960435,1345043
2050,836586,667206,1042804,1488810
