number,name,subregion,sqft_per_job_factor,sqft_per_job_factor_2010,sqft_per_job_factor_2015,sqft_per_job_factor_2020,sqft_per_job_factor_2025,sqft_per_job_factor_2030,sqft_per_job_factor_2035,sqft_per_job_factor_2040,sqft_per_job_factor_2045,sqft_per_job_factor_2050
1,SF NE,1,1.12755,1.24208,1.20403,1.16597,1.12792,1.08986,1.05181,1.01375,0.97570,0.93764
2,SF NW,1,1.01452,1.06089,1.04705,1.03320,1.01936,1.00551,0.99167,0.97782,0.96398,0.95013
3,SF S SE,1,1.36819,1.48450,1.41599,1.34747,1.27896,1.21044,1.14193,1.07342,1.00490,0.93639
4,SF SW,1,1.60578,1.72458,1.62801,1.53144,1.43486,1.33829,1.24172,1.14514,1.04857,0.95200
5,Daly City Millbrae,2,0.91714,0.99933,0.99375,0.98817,0.98258,0.97700,0.97142,0.96583,0.96025,0.95467
6,San Mateo,2,0.89991,0.94995,0.94688,0.94381,0.94074,0.93767,0.93460,0.93153,0.92847,0.92540
7,Redwood City,2,0.90945,0.99933,0.99400,0.98867,0.98333,0.97800,0.97267,0.96733,0.96200,0.95667
8,Palo Alto,2,0.90266,0.95032,0.94690,0.94348,0.94006,0.93664,0.93322,0.92980,0.92638,0.92296
9,Golden Triangle,1,0.87510,0.92362,0.92025,0.91689,0.91352,0.91015,0.90679,0.90342,0.90005,0.89668
10,West San Jose,1,0.90780,0.95032,0.94692,0.94353,0.94013,0.93673,0.93334,0.92994,0.92655,0.92315
11,San Jose CBD,1,0.81585,0.88360,0.88465,0.88571,0.88676,0.88782,0.88887,0.88993,0.89098,0.89204
12,East San Jose,1,0.91043,0.95270,0.94899,0.94527,0.94155,0.93783,0.93411,0.93040,0.92668,0.92296
13,South San Jose,1,0.92833,0.99900,0.98571,0.97242,0.95912,0.94583,0.93254,0.91925,0.90596,0.89266
14,SE Snta Clara Cnty,4,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300
15,Tri Valley,3,1.06100,1.06100,1.06100,1.06100,1.06100,1.06100,1.06100,1.06100,1.06100,1.06100
16,Fremont,2,0.93544,0.98000,0.97639,0.97278,0.96918,0.96557,0.96197,0.95836,0.95475,0.95115
17,S Leandro Hayward,2,0.92491,0.99867,0.99221,0.98575,0.97929,0.97283,0.96637,0.95992,0.95346,0.94700
18,Oakland Alameda,1,0.86652,0.93858,0.93272,0.92686,0.92101,0.91515,0.90930,0.90344,0.89758,0.89173
19,Berkeley Eville,2,0.96248,1.01180,1.00798,1.00415,1.00033,0.99650,0.99268,0.98885,0.98503,0.98120
20,Richmond Pinole,2,0.92851,0.99733,0.99229,0.98725,0.98221,0.97717,0.97212,0.96708,0.96204,0.95700
21,Martinez Concord,3,0.92631,0.99733,0.99254,0.98775,0.98296,0.97817,0.97337,0.96858,0.96379,0.95900
22,Lamorinda WC,3,0.92020,0.99800,0.99304,0.98808,0.98312,0.97817,0.97321,0.96825,0.96329,0.95833
23,S Ramon Danville,3,0.91802,0.99867,0.99375,0.98883,0.98392,0.97900,0.97408,0.96917,0.96425,0.95933
24,East Contra Costa,4,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300
25,Vallejo Benicia,3,1.06100,1.06100,1.06100,1.06100,1.06100,1.06100,1.06100,1.06100,1.06100,1.06100
26,Solano Remainder,4,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300
27,Napa City and S,3,0.93411,0.99367,0.99192,0.99017,0.98842,0.98667,0.98492,0.98317,0.98142,0.97967
28,Napa Remainder,4,1.03000,1.03000,1.06125,1.09250,1.12375,1.15500,1.18625,1.21750,1.24875,1.28000
29,Southern Sonoma,4,0.92947,0.99500,1.02198,1.04896,1.07594,1.10292,1.12989,1.15687,1.18385,1.21083
30,Santa Rosa Area,3,0.93079,0.99333,1.02073,1.04812,1.07552,1.10292,1.13031,1.15771,1.18510,1.21250
31,Northern Sonoma,4,0.93583,0.99133,1.01887,1.04642,1.07396,1.10150,1.12904,1.15658,1.18412,1.21167
32,Northern Marin,4,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300,1.09300
33,Central Marin,3,0.92110,0.99767,0.99479,0.99192,0.98904,0.98617,0.98329,0.98042,0.97754,0.97467
34,Southern Marin,3,0.92443,0.99767,0.99487,0.99208,0.98929,0.98650,0.98371,0.98092,0.97812,0.97533
