"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
11.850462,10.925316,10.919739,10.317975,10.301007,12.221441,11.243694,11.242153,10.632243,10.62511,12.272546,11.310925,11.307409,10.733602,10.723714,12.574099,11.582614,11.580262,11.007854,11.00125,0,1,0
12.735299,11.174164,11.172012,10.39584,10.383102,13.064594,11.493672,11.492652,10.7117,10.711693,13.182362,11.588887,11.587073,10.819082,10.819111,13.451204,11.855977,11.854932,11.092215,11.092295,1,1,1
12.546901,11.074846,11.071789,10.357664,10.3576,12.878305,11.392848,11.391589,10.672403,10.672287,12.991203,11.478768,11.476783,10.777119,10.768154,13.261057,11.746504,11.744341,11.05057,11.044276,2,1,2
11.833954,10.907815,10.902266,10.298746,10.281436,12.203035,11.227315,11.224669,10.613268,10.606022,12.256772,11.29879,11.295108,10.719689,10.709683,12.556132,11.563691,11.560774,10.987685,10.980854,3,2,0
12.700316,11.148883,11.146728,10.373092,10.359926,13.028249,11.467911,11.466745,10.68872,10.688704,13.149387,11.566689,11.564785,10.800512,10.800517,13.414472,11.828271,11.827045,11.067875,11.067914,4,2,1
12.514773,11.051643,11.048557,10.336377,10.336367,12.844954,11.369465,11.367992,10.651151,10.644709,12.961937,11.459067,11.456911,10.760424,10.751299,13.228099,11.721048,11.718988,11.027873,11.021695,5,2,2
11.686902,10.769748,10.763254,10.174619,10.154854,12.063739,11.086553,11.08421,10.486596,10.486562,12.13707,11.187085,11.182452,10.6221,10.62203,12.437222,11.445243,11.442343,10.885305,10.885224,6,3,0
12.641708,11.045942,11.043563,10.260013,10.259992,12.96591,11.362227,11.36097,10.573177,10.56671,13.106833,11.487547,11.485592,10.71319,10.704041,13.364607,11.742361,11.741058,10.975312,10.9689,7,3,1
12.445266,10.936679,10.933319,10.218091,10.201238,12.771106,11.251886,11.250253,10.530307,10.523093,12.909245,11.368894,11.366338,10.668232,10.658126,13.167834,11.623729,11.621984,10.930799,10.923796,8,3,2
11.965777,11.035487,11.03044,10.420423,10.420415,12.338936,11.356812,11.354723,10.736323,10.736285,12.3737,11.40385,11.399809,10.816069,10.816058,12.662791,11.665945,11.663972,11.081592,11.081526,9,4,0
12.830738,11.27455,11.272575,10.495398,10.49542,13.160832,11.595829,11.594867,10.812696,10.80731,13.258558,11.670137,11.668551,10.898392,10.890635,13.521222,11.929746,11.928347,11.163402,11.158098,10,4,1
12.643128,11.17755,11.174716,10.458384,10.444744,12.975766,11.497562,11.496296,10.774598,10.768721,13.069571,11.56269,11.560503,10.857544,10.857583,13.331844,11.821681,11.82075,11.122688,11.116786,11,4,2
11.701558,10.784647,10.77805,10.194003,10.193979,12.077205,11.103495,11.100476,10.50676,10.506735,12.146698,11.198617,11.194087,10.636358,10.636367,12.441609,11.45119,11.448212,10.894326,10.88648,12,5,0
12.628823,11.050892,11.048395,10.274124,10.258905,12.951528,11.36692,11.365614,10.58732,10.580578,13.089272,11.485013,11.483192,10.720798,10.720798,13.342145,11.734981,11.733501,10.978132,10.971494,13,5,1
12.437896,10.944687,10.941157,10.23446,10.234447,12.762423,11.260022,11.258446,10.547164,10.54708,12.896265,11.370535,11.367738,10.678645,10.678636,13.149928,11.620556,11.617979,10.936059,10.93611,14,5,2
11.510354,10.602713,10.594934,10.034192,10.034175,11.888859,10.918603,10.915121,10.343296,10.333492,11.997478,11.052265,11.047461,10.512355,10.499756,12.280634,11.297806,11.294321,10.764903,10.756087,15,6,0
12.473056,10.878375,10.875303,10.112923,10.095187,12.789608,11.189583,11.188088,10.421774,10.413971,12.960276,11.344595,11.342146,10.594095,10.594051,13.20584,11.586656,11.584952,10.845472,10.845374,16,6,1
12.276881,10.768598,10.764296,10.073771,10.073777,12.596113,11.079597,11.077578,10.382317,10.382337,12.763497,11.2274,11.22421,10.553008,10.55309,13.0105,11.469358,11.466846,10.804972,10.80483,17,6,2
11.508941,10.603779,10.59591,10.033538,10.033546,11.889354,10.919927,10.9163,10.342543,10.332797,11.998632,11.053308,11.048151,10.512193,10.499441,12.280425,11.297752,11.294148,10.764059,10.755195,18,7,0
12.473754,10.882545,10.879514,10.113999,10.113996,12.789402,11.193608,11.19232,10.422821,10.422812,12.960338,11.347966,11.345698,10.595262,10.595362,13.203827,11.588793,11.586891,10.845836,10.845853,19,7,1
12.279343,10.772087,10.767817,10.074097,10.074125,12.597692,11.083337,11.081234,10.382692,10.373891,12.765261,11.230507,11.227373,10.553782,10.542122,13.008616,11.471558,11.468829,10.804736,10.796533,20,7,2
11.548841,10.641191,10.633552,10.072989,10.050183,11.923007,10.956487,10.953589,10.381392,10.371883,12.029156,11.082586,11.077829,10.541835,10.541922,12.304236,11.320845,11.317393,10.787871,10.787961,21,8,0
