"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
10.454129,11.234103,11.193749,10.916552,10.862603,10.846745,11.36292,11.350637,10.99322,10.968364,11.081857,11.444548,11.421252,11.021291,11.008969,11.294239,11.50114,11.494557,11.048507,11.041251,0,1,0
10.444763,11.233672,11.193867,10.916529,10.862666,10.830024,11.367452,11.348977,10.994143,10.967744,11.080492,11.436011,11.42059,11.024146,11.00723,11.245922,11.49936,11.503004,11.050029,11.040705,1,1,1
10.452456,11.235015,11.19453,10.916621,10.862235,10.86733,11.362706,11.35056,10.99213,10.967512,11.081713,11.441698,11.425722,11.023396,11.008276,11.257722,11.505067,11.506701,11.050117,11.039806,2,1,2
10.530004,11.30028,11.262909,10.977455,10.927966,10.906156,11.42649,11.410521,11.048525,11.027197,11.13177,11.494082,11.47302,11.078083,11.064067,11.301829,11.554695,11.550158,11.102923,11.09406,3,2,0
10.527143,11.300496,11.262895,10.977879,10.928019,10.900972,11.424345,11.407998,11.049417,11.027718,11.110093,11.494528,11.480673,11.078132,11.062149,11.303536,11.546683,11.559429,11.101719,11.093443,4,2,1
10.529113,11.300053,11.263544,10.977692,10.927911,10.912232,11.426715,11.408501,11.048623,11.026155,11.133869,11.494985,11.479619,11.075896,11.062623,11.293242,11.554705,11.554048,11.100164,11.094091,5,2,2
10.554813,11.327691,11.290812,11.002595,10.955134,10.945506,11.450961,11.436467,11.071571,11.050201,11.135497,11.514702,11.495214,11.098621,11.085229,11.317307,11.574471,11.569118,11.119559,11.114007,6,3,0
10.566468,11.326665,11.29216,11.002861,10.955321,10.924683,11.447204,11.436173,11.072347,11.050355,11.103358,11.514311,11.501539,11.098256,11.084062,11.301211,11.576681,11.573958,11.120023,11.115348,7,3,1
10.554516,11.328258,11.29144,11.002808,10.955059,10.927336,11.44306,11.436133,11.072583,11.04993,11.113471,11.516138,11.509308,11.098703,11.082886,11.327974,11.571475,11.569972,11.120367,11.113766,8,3,2
10.632426,11.38414,11.348874,11.05621,11.011374,10.993822,11.499104,11.48789,11.121424,11.102227,11.195163,11.567729,11.55322,11.147205,11.137156,11.350818,11.621951,11.613639,11.171215,11.163545,9,4,0
10.626406,11.384513,11.350243,11.056238,11.011228,10.994229,11.496312,11.485086,11.122323,11.101224,11.160943,11.56139,11.556642,11.14786,11.136096,11.368285,11.621153,11.619508,11.171928,11.165253,10,4,1
10.62171,11.38353,11.350785,11.056227,11.011372,10.985794,11.503531,11.485783,11.121996,11.102178,11.188781,11.56354,11.551499,11.147324,11.134369,11.338826,11.626178,11.614285,11.171242,11.163977,11,4,2
10.688945,11.437531,11.406752,11.106204,11.064705,11.027434,11.54999,11.533709,11.166902,11.148046,11.240559,11.606961,11.59458,11.190637,11.180833,11.358249,11.663494,11.65881,11.213032,11.205163,12,5,0
10.690412,11.437752,11.406294,11.105974,11.064877,11.055117,11.543208,11.529134,11.167616,11.149069,11.227673,11.602832,11.602554,11.191897,11.179903,11.392155,11.665735,11.662737,11.212665,11.206806,13,5,1
10.683483,11.437649,11.406374,11.106011,11.064805,11.013618,11.546136,11.531309,11.167918,11.148562,11.224639,11.600972,11.602489,11.192481,11.178702,11.362647,11.667853,11.656157,11.212474,11.205595,14,5,2
10.608461,11.369675,11.335727,11.045969,10.999684,10.994812,11.487383,11.47597,11.11214,11.092051,11.172193,11.549562,11.548401,11.138657,11.126369,11.352855,11.617705,11.613037,11.160855,11.152541,15,6,0
10.604562,11.370175,11.333983,11.045637,10.999756,10.971448,11.488405,11.475863,11.11297,11.092207,11.194639,11.557678,11.54175,11.139957,11.126423,11.338987,11.607807,11.612196,11.162361,11.153847,16,6,1
10.605106,11.369189,11.33467,11.045911,10.999697,10.982432,11.488894,11.473492,11.113354,11.092896,11.187691,11.557376,11.546181,11.139682,11.125847,11.388581,11.612278,11.618414,11.161487,11.154507,17,6,2
10.648139,11.412274,11.379928,11.085387,11.041629,11.012952,11.527801,11.516362,11.150285,11.129611,11.213079,11.594567,11.581889,11.175531,11.162908,11.394856,11.650948,11.650702,11.196268,11.190724,18,7,0
10.655619,11.412877,11.378534,11.085298,11.041508,10.999239,11.528866,11.517206,11.149839,11.130711,11.227725,11.594965,11.573951,11.17645,11.16276,11.365434,11.653843,11.650242,11.197269,11.18875,19,7,1
10.658937,11.412066,11.380332,11.085401,11.041702,10.998933,11.530154,11.513845,11.150644,11.129463,11.226834,11.591076,11.580565,11.173439,11.161948,11.397524,11.640523,11.65223,11.198724,11.191541,20,7,2
10.631254,11.403818,11.370698,11.078438,11.034271,11.027727,11.520599,11.508852,11.143554,11.123734,11.218423,11.588408,11.577945,11.170213,11.156369,11.390579,11.647285,11.647365,11.19109,11.185087,21,8,0
10.645329,11.404198,11.369813,11.078319,11.034232,11.020378,11.525485,11.508128,11.142371,11.12404,11.236128,11.582422,11.576491,11.16838,11.157597,11.387303,11.640425,11.641471,11.190407,11.183008,22,8,1
10.645124,11.404604,11.370666,11.078562,11.034224,11.029655,11.52211,11.504421,11.143225,11.124433,11.18293,11.579782,11.570922,11.169358,11.158401,11.376439,11.638689,11.64723,11.192356,11.184478,23,8,2
10.57584,11.351135,11.314642,11.034514,10.98494,10.977593,11.479729,11.462415,11.105262,11.083897,11.18721,11.541247,11.539117,11.133333,11.117915,11.366321,11.604322,11.609898,11.152826,11.149669,24,9,0
10.575005,11.351972,11.313951,11.034434,10.984673,11.003779,11.480978,11.462356,11.103703,11.0826,11.194773,11.538905,11.524023,11.133358,11.118038,11.361789,11.592418,11.606833,11.157403,11.149214,25,9,1
10.584236,11.351272,11.314572,11.034583,10.984879,10.974051,11.476639,11.46208,11.105179,11.082348,11.185051,11.546924,11.538833,11.131354,11.117946,11.363665,11.60631,11.607725,11.155143,11.147123,26,9,2
10.582365,11.353381,11.31528,11.03424,10.983934,10.981139,11.481505,11.463529,11.106107,11.083503,11.178974,11.548123,11.541965,11.133371,11.119358,11.346484,11.618426,11.603571,11.155685,11.147337,27,10,0
10.588161,11.3519,11.314527,11.034052,10.984097,10.988615,11.478285,11.460778,11.105663,11.083746,11.199749,11.540542,11.539515,11.133728,11.120741,11.376468,11.62142,11.6065,11.156575,11.148383,28,10,1
10.590426,11.35205,11.314845,11.034136,10.983852,10.976307,11.474658,11.461828,11.105795,11.083643,11.187091,11.544054,11.539429,11.134256,11.119597,11.324727,11.61482,11.614748,11.157678,11.14801,29,10,2
10.702615,11.449145,11.41836,11.119716,11.078416,11.060133,11.564023,11.543592,11.182208,11.162287,11.245482,11.614302,11.613327,11.205706,11.194553,11.363189,11.674837,11.684237,11.226645,11.221245,30,11,0
10.70265,11.449192,11.41829,11.119656,11.07843,11.08072,11.562169,11.54339,11.181521,11.162908,11.238159,11.616743,11.611329,11.206155,11.194656,11.374473,11.686515,11.669748,11.227247,11.219626,31,11,1
