year,AGREMPN,MWTEMPN,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN
2010,27545,561534,636935,818157,867980,546126
2015,24826,609939,684164,985981,1095193,647692
2020,26305,637904,756849.0311,1136690.969,1264958,744097
2025,26229,630669,763329,1206488,1328805,762661
2030,26920,651802,791612,1305724,1417391,817422
2035,27779,684668,826183,1424742,1511031,894704
2040,28925,726067,867707,1560134,1617650,979645
2045,30067,770768,912439,1711955,1735742,1076984
2050,31486,822553,967089,1886602,1880811,1187942
