year,totpop,empres,medianage,age0004,age0519,age2044,age4564,age65p,st_res_vac
2010,7167871,3362117,37.7,447536,1321745,2581391,1931955,885244,0.030
2015,7654870,3960577,38.5,443102,1335262,2745530,2050290,1080686,0.010
2020,8490018,4469001,38.9,505337,1494840,2985175,2190422,1314244,0.012
2025,9230456,4617838,39.6,544644,1586945,3224921,2284503,1589443,0.014
2030,9950076,4904650,40.2,579123,1678144,3420021,2414076,1858712,0.016
2035,10520272,4720377,40.9,613190,1753979,3496761,2567908,2088434,0.019
2040,11503815,5653955,42.7,693206,1914270,3901051,2713727,2281561,0.022
2045,12642029,6124929,42.2,779356,2126167,4351298,2910969,2474239,0.026
2050,13771755,6637100,42.9,866757,2356259,4709818,3135351,2703570,0.030
