year,AGREMPN,MWTEMPN,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN
2010,27545,561534,636935,818157,867980,546126
2015,24826,628375,684164,985981,1095193,647692
2020,26305,657569,756868,1136700,1264965,744103
2025,26229,650765,763345,1206495,1328808,762667
2030,26920,672601,791612,1305723,1417390,817419
2035,26265,634926,704289,1303401,1355767,818328
2040,28990,751367,866611,1556101,1618044,977219
2045,30175,796372,913856,1714606,1736046,1089048
2050,31521,848251,967431,1886809,1879695,1190365
