year,totpop,empres,medianage,age0004,age0519,age2044,age4564,age65p,st_res_vac
2010,7167871,3389111,37.7,447536,1321745,2581391,1931955,885244,0.030
2015,7654870,3984906,38.5,443102,1335262,2745530,2050290,1080686,0.010
2020,8114431,4251269,38.9,456519,1424313,2774080,2149696,1309823,0.012
2025,8499678,4361425,39.6,447578,1447268,2818631,2212109,1574092,0.014
2030,8846938,4401348,40.2,439562,1446671,2829019,2300791,1830895,0.016
2035,9037696,4079302,40.9,437387,1411044,2752007,2391844,2045414,0.019
2040,9640067,4745030,42.7,486899,1465249,3032445,2434528,2220946,0.022
2045,10327982,4915358,42.2,530903,1576044,3340692,2489311,2391032,0.026
2050,10944412,5050676,42.9,561524,1700419,3530159,2564543,2587767,0.030
