year,AGREMPN,MWTEMPN,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN
2010,27545,561534,636935,818157,867980,546126
2015,24826,609939,684164,985981,1095193,647692
2020,23065,527278,571179,980276,1007581,553955
2025,23195,531858,569538,1046389,1049353,562706
2030,22591,498219,540859,1070943,1038249,560225
2035,23228,492883,528467,1146434,1089895,542200
2040,24641,500926,538695,1257299,1182444,571687
2045,26416,506393,551694,1369792,1279687,602290
2050,28389,507927,559085,1477865,1370116,620827
