year,shrs1,shrs2,shrs3,shrs4,shrq1,shrq2,shrq3,shrq4,shrw0,shrw1,shrw2,shrw3,shra1,shra2,shra3,shra4,shrn,shry
2010,0.261088572,0.305917164,0.164542644,0.26845162,0.19412104,0.203871398,0.221872421,0.380135141,0.230929163,0.398910124,0.295972705,0.074188007,0.247586998,0.211575335,0.41802113,0.122816537,0.666496122,0.333503878
2015,0.263238596,0.303627582,0.162190295,0.270603537,0.196247652,0.200297439,0.218319856,0.384384536,0.234084438,0.396636762,0.292478863,0.076181881,0.245280683,0.210440164,0.416898025,0.12672476,0.668689256,0.331220088
2020,0.265406325,0.301355135,0.159871575,0.272772703,0.198397561,0.196786132,0.214824174,0.388681433,0.237282824,0.394376356,0.289026264,0.078229343,0.242995851,0.209311084,0.415777937,0.130757349,0.670889605,0.328951938
2025,0.267591905,0.299099696,0.157586005,0.274959258,0.200571022,0.19333638,0.211384464,0.393026363,0.24052491,0.392128832,0.285614421,0.080331832,0.240732303,0.208188062,0.414660858,0.134918261,0.673097195,0.32669932
2030,0.269795483,0.296861138,0.15533311,0.27716334,0.202768294,0.189947104,0.20799983,0.397419864,0.243811295,0.389894116,0.282242854,0.082490828,0.238489841,0.207071065,0.41354678,0.139211581,0.675312049,0.324462128
2035,0.272017207,0.294639334,0.153112423,0.27938509,0.204989637,0.186617244,0.20466939,0.401862478,0.247142583,0.387672136,0.278911087,0.084707848,0.236268267,0.205960061,0.412435696,0.143641521,0.677534192,0.322240255
2040,0.274257227,0.292434158,0.150923483,0.28162465,0.207235315,0.183345758,0.201392276,0.406354755,0.250519388,0.385462819,0.27561865,0.086984454,0.234067388,0.204855018,0.411327597,0.148212429,0.679763646,0.320033598
2045,0.276515692,0.290245487,0.148765838,0.283882162,0.209505595,0.180131622,0.198167634,0.410897249,0.253942331,0.383266092,0.272365079,0.089322245,0.23188701,0.203755904,0.410222475,0.152928791,0.682000437,0.317842051
2050,0.281088572,0.285917164,0.144542644,0.28845162,0.21412104,0.173871398,0.191872421,0.420135141,0.260929163,0.378910124,0.265972705,0.094188007,0.227586998,0.201575335,0.40802113,0.162816537,0.686496122,0.313503878
