County,Taz,Local Govt Jobs per TAZ pop,ed_k12 Jobs per TAZ pop,County Govt Jobs per County Pop,State Govt Jobs per Reg Pop,Federal Govt Jobs per Reg Pop,ed_high Jobs per Reg Pop
San Francisco,84,0.0000713,0.0084413,0,0,0,0
San Francisco,85,0.0000713,0.0084413,0,0,0,0.0000042
San Francisco,86,0.0000713,0.0084413,0,0,0,0.0000063
San Francisco,87,0.0000713,0.0084413,0,0,0,0.0000035
San Francisco,88,0.0000713,0.0084413,0,0,0,0.0000076
San Francisco,89,0.0000713,0.0084413,0.0001125,0,0,0.0000039
San Francisco,90,0.0000713,0.0084413,0,0,0,0
San Francisco,91,0.0000713,0.0084413,0,0,0,0.0000138
San Francisco,92,0.0000713,0.0084413,0.0003588,0.0000317,0,0.000003
San Francisco,93,0.0000713,0.0084413,0,0,0,0.0000037
San Francisco,94,0.0000713,0.0084413,0,0,0,0.0000034
San Francisco,95,0.0000713,0.0084413,0,0,0,0.0000052
San Francisco,96,0.0000713,0.0084413,0,0,0,0
San Francisco,97,0.0000713,0.0084413,0,0,0,0.0000113
San Francisco,98,0.0000713,0.0084413,0,0,0,0
San Francisco,99,0.0000713,0.0084413,0,0,0,0
San Francisco,100,0.0000713,0.0084413,0,0,0,0.0000279
San Francisco,101,0.0000713,0.0084413,0,0,0,0
San Francisco,102,0.0000713,0.0084413,0.0002813,0,0,0
San Francisco,103,0.0000713,0.0084413,0,0,0,0.0000196
San Francisco,104,0.0000713,0.0084413,0,0,0,0.0000109
San Francisco,105,0.0000713,0.0084413,0,0,0,0
San Francisco,106,0.0000713,0.0084413,0.0038331,0,0,0.0000024
San Francisco,107,0.0000713,0.0084413,0.0001238,0.0000037,0,0
San Francisco,108,0.0000713,0.0084413,0,0,0,0
San Francisco,109,0.0000713,0.0084413,0,0.0000155,0.0000003,0
San Francisco,110,0.0000713,0.0084413,0,0,0,0
San Francisco,111,0.0000713,0.0084413,0,0,0.0000001,0
San Francisco,112,0.0000713,0.0084413,0,0,0,0.0000063
San Francisco,113,0.0000713,0.0084413,0,0,0,0.0000056
San Francisco,114,0.0000713,0.0084413,0,0,0,0.0000171
San Francisco,115,0.0000713,0.0084413,0,0,0.0000003,0
San Francisco,116,0.0000713,0.0084413,0,0,0,0.000009
San Francisco,117,0.0000713,0.0084413,0,0,0,0.0000183
San Francisco,118,0.0000713,0.0084413,0,0,0,0
San Francisco,119,0.0000713,0.0084413,0,0,0,0.0000014
San Francisco,120,0.0000713,0.0084413,0,0,0,0.0000034
San Francisco,121,0.0000713,0.0084413,0,0,0,0
San Francisco,122,0.0000713,0.0084413,0,0,0,0.0000056
San Francisco,123,0.0000713,0.0084413,0,0,0,0
San Francisco,124,0.0000713,0.0084413,0,0,0,0.0000031
San Francisco,125,0.0000713,0.0084413,0,0,0,0.0000068
San Francisco,126,0.0000713,0.0084413,0,0,0,0
San Francisco,127,0.0000713,0.0084413,0.0000038,0,0,0.0000042
San Francisco,128,0.0000713,0.0084413,0,0,0,0.0000134
San Francisco,129,0.0000713,0.0084413,0,0,0,0.0000035
San Francisco,130,0.0000713,0.0084413,0.0000025,0,0,0.0000179
San Francisco,131,0.0000713,0.0084413,0,0,0,0.0000038
San Francisco,132,0.0000713,0.0084413,0,0,0,0
San Francisco,133,0.0000713,0.0084413,0.0000713,0,0,0.0000107
San Francisco,134,0.0000713,0.0084413,0.000125,0,0,0
San Francisco,135,0.0000713,0.0084413,0,0,0,0.0000079
San Francisco,136,0.0000713,0.0084413,0,0,0,0
San Francisco,137,0.0000713,0.0084413,0,0,0,0.0000092
San Francisco,138,0.0000713,0.0084413,0,0.0000013,0,0.0000228
San Francisco,139,0.0000713,0.0084413,0,0,0,0.0000212
San Francisco,140,0.0000713,0.0084413,0,0,0,0.0000042
San Francisco,141,0.0000713,0.0084413,0,0.0000008,0,0
San Francisco,142,0.0000713,0.0084413,0.0009439,0,0,0
San Francisco,143,0.0000713,0.0084413,0.0000563,0,0,0.0000049
San Francisco,144,0.0000713,0.0084413,0,0,0,0.0000094
San Francisco,145,0.0000713,0.0084413,0,0,0,0.0000062
San Francisco,146,0.0000713,0.0084413,0,0,0,0
San Francisco,147,0.0000713,0.0084413,0,0,0,0
San Francisco,148,0.0000713,0.0084413,0,0.000001,0,0.0000071
San Francisco,149,0.0000713,0.0084413,0,0.0000028,0.0000004,0.0000018
San Francisco,150,0.0000713,0.0084413,0.000135,0,0,0
San Francisco,151,0.0000713,0.0084413,0,0,0,0
San Francisco,152,0.0000713,0.0084413,0,0,0,0.000024
San Francisco,153,0.0000713,0.0084413,0,0,0,0
San Francisco,154,0.0000713,0.0084413,0,0,0,0
San Francisco,155,0.0000713,0.0084413,0,0,0,0.0000049
San Francisco,156,0.0000713,0.0084413,0,0,0,0
San Francisco,157,0.0000713,0.0084413,0,0,0,0
San Francisco,158,0.0000713,0.0084413,0.0000063,0,0,0.0000221
San Francisco,159,0.0000713,0.0084413,0,0,0,0.0000056
San Francisco,160,0.0000713,0.0084413,0,0,0,0.0000056
San Francisco,161,0.0000713,0.0084413,0,0,0,0
San Francisco,162,0.0000713,0.0084413,0,0,0,0
San Francisco,163,0.0000713,0.0084413,0,0,0,0.0000056
San Francisco,164,0.0000713,0.0084413,0,0,0,0
San Francisco,165,0.0000713,0.0084413,0.0005001,0,0,0.0000295
San Francisco,166,0.0000713,0.0084413,0,0,0,0
San Francisco,167,0.0000713,0.0084413,0,0,0,0.0000035
San Francisco,168,0.0000713,0.0084413,0,0,0,0.0000035
San Francisco,169,0.0000713,0.0084413,0.0000375,0.0000017,0.0000282,0.0000141
San Francisco,170,0.0000713,0.0084413,0,0,0,0
San Francisco,171,0.0000713,0.0084413,0,0,0,0
San Francisco,172,0.0000713,0.0084413,0,0,0,0.0000124
San Francisco,173,0.0000713,0.0084413,0,0.0000018,0,0
San Francisco,174,0.0000713,0.0084413,0,0,0,0.0000045
San Francisco,175,0.0000713,0.0084413,0,0,0,0
San Francisco,176,0.0000713,0.0084413,0,0,0,0.0000045
San Francisco,177,0.0000713,0.0084413,0,0,0,0
San Francisco,178,0.0000713,0.0084413,0,0,0,0.0000056
San Francisco,179,0.0000713,0.0084413,0,0,0,0.0000113
San Francisco,180,0.0000713,0.0084413,0,0,0,0
San Francisco,181,0.0000713,0.0084413,0,0,0,0
San Francisco,182,0.0000713,0.0084413,0,0,0,0
San Francisco,183,0.0000713,0.0084413,0,0,0,0.0000251
San Francisco,184,0.0000713,0.0084413,0,0,0,0.0000071
San Francisco,185,0.0000713,0.0084413,0.0000938,0,0,0.0000416
San Francisco,186,0.0000713,0.0084413,0,0,0,0
San Francisco,187,0.0000713,0.0084413,0,0,0.0000006,0
San Francisco,188,0.0000713,0.0084413,0,0,0,0.000043
San Francisco,189,0.0000713,0.0084413,0,0,0,0
San Francisco,190,0.0000713,0.0084413,0.0000013,0.0000042,0,0
San Mateo,191,0.0086264,0.0101996,0,0,0,0.0000024
San Mateo,192,0.0086264,0.0101996,0,0,0,0
San Mateo,193,0.0086264,0.0101996,0,0.0000071,0,0.0000124
San Mateo,194,0.0086264,0.0101996,0.000028,0,0,0.0000374
San Mateo,195,0.0086264,0.0101996,0,0,0,0.0000052
San Mateo,196,0.0086264,0.0101996,0,0,0,0.0000063
San Mateo,197,0.0086264,0.0101996,0,0,0.0000001,0
San Mateo,198,0.0086264,0.0101996,0.000056,0,0,0.0000054
San Mateo,199,0.0086264,0.0101996,0,0,0.0000025,0
San Mateo,200,0.0086264,0,0,0,0,0
San Mateo,201,0.0086264,0.0101996,0,0,0,0
San Mateo,202,0.0086264,0.0101996,0,0,0,0.0000196
San Mateo,203,0.0086264,0.0101996,0,0.0000016,0.0000042,0.0000141
San Mateo,204,0.0086264,0.0101996,0,0,0,0
San Mateo,205,0.0086264,0.0101996,0,0,0,0.000012
San Mateo,206,0.0086264,0.0101996,0,0,0,0
San Mateo,207,0.0086264,0.0101996,0.0000392,0,0.0000063,0.0000302
San Mateo,208,0.0086264,0.0051504,0.0001119,0,0,0.0000035
San Mateo,209,0.0086264,0.0125839,0,0,0,0.0000353
San Mateo,210,0.0086264,0.0125839,0,0,0,0
San Mateo,211,0.0086264,0.0125839,0,0,0,0
San Mateo,212,0.0086264,0.0125839,0.0001637,0.0000032,0.0000028,0.0000148
San Mateo,213,0.0086264,0.0125839,0,0,0,0.000012
San Mateo,214,0.0086264,0.0125839,0,0,0,0.0000071
San Mateo,215,0.0086264,0.0125839,0.000035,0.0000004,0,0
San Mateo,216,0.0086264,0.0125839,0,0,0,0.0000261
San Mateo,217,0.0086264,0.0125839,0,0,0,0.0000099
San Mateo,218,0.0086264,0.0101996,0,0,0,0
San Mateo,219,0.0086264,0.0101996,0,0,0,0.0000056
San Mateo,220,0.0086264,0.0098983,0,0,0,0.0000078
San Mateo,221,0.0086264,0.0098983,0,0,0,0
San Mateo,222,0.0086264,0.0098983,0,0,0.0000003,0
San Mateo,223,0.0086264,0.0098983,0,0,0,0.0000111
San Mateo,224,0.0086264,0.0098983,0.0000699,0,0,0.0000085
San Mateo,225,0.0086264,0.0098983,0,0,0,0.0000056
San Mateo,226,0.0086264,0.0098983,0,0,0,0.0000183
San Mateo,227,0.0086264,0.0098983,0.000007,0,0,0.0000006
San Mateo,228,0.0086264,0.0101549,0,0,0,0
San Mateo,229,0.0086264,0.0101549,0,0,0,0.0000056
San Mateo,230,0.0086264,0.0125839,0,0,0,0.0000071
