year,AGREMPN,MWTEMPN,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN
2010,27545,561534,636935,818157,867980,546126
2015,24826,628375,684164,985981,1095193,647692
2020,24395,626224,718596,1089358,1217359,680463
2025,22469,601482,734647,1140090,1277794,680360
2030,20743,580597,729988,1177237,1312424,678953
2035,18556,527331,629389,1136890,1246848,634497
2040,18748,592794,743303,1303537,1468734,726102
2045,17907,588363,748294,1366373,1541571,768024
2050,17270,577134,749070,1418894,1613169,796221
