year,AGREMPN,MWTEMPN,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN
2010,27545,561534,636935,818157,867980,546126
2015,24826,628375,684164,985981,1095193,647692
2020,23065,543324,571197,980286,1007589,553963
2025,23195,548838,569553,1046396,1049358,562713
2030,22591,514885,540858,1070942,1038249,560220
2035,21501,452917,447027,1049782,981147,486990
2040,24677,521841,538165,1252992,1183125,572682
2045,26539,529063,553554,1372819,1281093,616298
2050,28420,530737,559736,1478384,1369765,623527
