TAZ,shrq1_2010,shrq2_2010,shrq3_2010,shrq4_2010,shrw0_2010,shrw1_2010,shrw2_2010,shrw3_2010,shra1_2010,shra2_2010,shra3_2010,shra4_2010,shrn_2010,shry_2010,qmn,qsd,wmn,wsd,amn,asd
700057,0.210237467,0.304591029,0.299182058,0.185989446,0.232875989,0.308970976,0.380527704,0.07762533,0.197080292,0.212895377,0.462287105,0.127737226,0.710211082,0.289788918," 64,043 "," 3,203,564 ", 1.32619 , 104 , 44 ," 5,087 "
700058,0.099444444,0.386488095,0.142579365,0.371488095,0.232876984,0.308988095,0.380515873,0.077619048,0.183372183,0.144522145,0.475524476,0.196581197,0.710198413,0.289801587," 76,726 "," 8,431,251 ", 1.32616 , 138 , 48 ," 9,340 "
700059,0.235595777,0.237285068,0.211870287,0.315248869,0.232880845,0.308974359,0.380512821,0.077631976,0.233672858,0.185739964,0.445176753,0.135410425,0.710211161,0.289788839," 70,567 "," 8,905,530 ", 1.32619 , 182 , 46 ," 9,949 "
700060,0.472669039,0.221316726,0.196725979,0.109288256,0.260854093,0.461672598,0.240320285,0.037153025,0.277479893,0.297587131,0.360589812,0.064343164,0.766405694,0.233594306," 46,448 "," 936,228 ", 1.06492 , 59 , 41 ," 3,344 "
700061,0.187865854,0.34847561,0.436371951,0.027286585,0.260884146,0.461646341,0.240304878,0.037164634,0.195054945,0.270604396,0.467032967,0.067307692,0.766402439,0.233597561," 56,820 "," 4,267,294 ", 1.06490 , 69 , 41 ," 4,635 "
700062,0.117365607,0.33118657,0.315110677,0.236337147,0.273675497,0.266490066,0.399089404,0.060745033,0.3467539,0.186210367,0.402113739,0.064921993,0.602019868,0.397980132," 71,415 "," 6,466,109 ", 1.26513 , 178 , 45 ," 10,214 "
700063,0.34986711,0.201162791,0.204086379,0.244883721,0.155215947,0.358704319,0.398704319,0.087375415,0.331546023,0.221626452,0.391420912,0.055406613,0.500166113,0.499833887," 61,238 "," 2,916,520 ", 1.44445 , 86 , 43 ," 5,596 "
700064,0.386064516,0.361580645,0.16383871,0.088516129,0.278783187,0.383173651,0.27542824,0.062614923,0.300223214,0.224330357,0.404017857,0.071428571,0.648096774,0.351903226," 46,234 "," 1,181,619 ", 1.14066 , 63 , 43 ," 4,584 "
700065,0.254104991,0.243597246,0.24369191,0.258605852,0.278786575,0.383166954,0.275421687,0.062624785,0.270070747,0.228852661,0.378652722,0.12242387,0.648098107,0.351901893," 66,595 "," 12,338,619 ", 1.14067 , 238 , 45 ," 15,125 "
700066,0.274328018,0.292915718,0.275876993,0.156879271,0.273511088,0.391188966,0.288625155,0.046674791,0.240112994,0.192561205,0.449152542,0.118173258,0.732699317,0.267300683," 58,976 "," 6,095,137 ", 1.12247 , 194 , 45 ," 12,602 "
