tract_ba,census_tract,prop_eq,prop_fire,shaking
438400,06001438400,0.295740173,0.027700004,9.2
438300,06001438300,0.120950458,0.032441553,9
440100,06001440100,0.093987193,0.064411707,9.442857143
440200,06001440200,0.153151101,0.055107245,9.2
441503,06001441503,0.064042818,0.018768166,7.4
442800,06001442800,0.090082011,0.044858438,9.1
442900,06001442900,0.067736822,0.027675731,8.9
443001,06001443001,0.103062245,0.025725754,9.1
442200,06001442200,0.10196287,0.023458668,9.2
444200,06001444200,0.065045887,0.035524355,8.7
444500,06001444500,0.08278345,0.012270944,9
444100,06001444100,0.097996303,0.038964297,9.3
442400,06001442400,0.089145872,0.028611908,9.3
442300,06001442300,0.117196175,0.026766688,9.3
441901,06001441901,0.065982703,0.119948128,9.6
441922,06001441922,0.074294842,0.059526929,9.6
441302,06001441302,0.156733777,0.067531052,9.85
441700,06001441700,0.10547497,0.044707646,9.675
441301,06001441301,0.200209734,0.049879798,9.7
441601,06001441601,0.085618272,0.081641284,9.7
450605,06001450605,0.143321765,0.0132113,9.85
450607,06001450607,0.233183267,0.003909077,9.85
450703,06001450703,0.088932641,0.035611851,9.766666667
450742,06001450742,0.214793083,0.016868817,9.8
451102,06001451102,0.125602495,-6.69435E-11,9.766666667
451601,06001451601,0.054549946,0.001392693,9.5
437300,06001437300,0.241513971,0.058329895,8.9
437000,06001437000,0.1851628,0.071804771,8.8
437600,06001437600,0.195505496,0.103344086,9.2
437700,06001437700,0.266236935,0.142265429,9.5
436300,06001436300,0.268267008,0.085269635,9.1
436602,06001436602,0.256291223,0.098818116,9.3
437800,06001437800,0.169144305,0.141933672,9.5
436800,06001436800,0.170249621,0.108126242,9.1
436601,06001436601,0.300975942,0.082701429,9.4
435102,06001435102,0.100197698,0.08625478,9.266666667
436500,06001436500,0.317546047,0.091662116,9.3
436700,06001436700,0.146900541,0.109978477,8.8
404700,06001404700,0.137633518,0.050553808,9
426100,06001426100,0.071261953,0.057022634,8.7
401200,06001401200,0.049286276,0.043355378,8.1
403500,06001403500,0.085533465,0.031080626,8.3
401300,06001401300,0.109338557,0.024941342,8.3
403800,06001403800,0.242800172,0.035146117,8.5
403900,06001403900,0.066971273,0.037681301,8.5
403600,06001403600,0.061754372,0.037679073,8.5
408900,06001408900,0.402641699,0.015401973,8.8
409600,06001409600,0.279765365,0.02512731,8.7
409700,06001409700,0.212370773,0.028668452,8.7
409800,06001409800,0.224232451,0.028550288,8.7
428100,06001428100,0.132568845,0.021235066,8.8
408500,06001408500,0.315506001,0.027732818,8.8
408400,06001408400,0.257198419,0.030861228,8.7
408100,06001408100,0.092951586,0.021275798,8.777777778
408600,06001408600,0.220231377,0.030254535,8.9
408300,06001408300,0.165270441,0.037883936,8.6
406100,06001406100,0.209892674,0.026945583,8.9
427200,06001427200,0.246558783,0.017756436,8.7
408700,06001408700,0.235163432,0.023373357,9.1
408200,06001408200,0.194626444,0.03500636,8.9
407400,06001407400,0.207928314,0.025850193,9.1
407600,06001407600,0.134044855,0.031555028,9.1
407700,06001407700,0.143852857,0.035630093,9.1
427800,06001427800,0.088790783,0.014670349,8.3
427300,06001427300,0.291073996,0.012449782,8.5
407800,06001407800,0.253697056,0.033264141,8.9
406000,06001406000,0.467106574,0.014065709,8.7
407900,06001407900,0.182426694,0.037996732,8.88
407000,06001407000,0.165065277,0.038017845,9
407200,06001407200,0.164511524,0.026534542,8.9
406500,06001406500,0.181625156,0.030247181,8.9
406202,06001406202,0.142904758,0.027039474,8.8
407100,06001407100,0.124782748,0.032051184,8.9
406201,06001406201,0.11672396,0.027928413,8.8
406300,06001406300,0.131963734,0.029929469,8.8
403300,06001403300,0.311080883,0.01564065,8.7
405300,06001405300,0.357497369,0.014275251,8.8
405400,06001405400,0.245643982,0.016418466,8.8
406600,06001406600,0.161136702,0.037187001,9
406800,06001406800,0.172806035,0.038275238,8.9
406400,06001406400,0.16640174,0.036491391,8.9
405800,06001405800,0.094754131,0.036140022,8.8
403200,06001403200,0.140094524,0.011307925,8.5
405500,06001405500,0.09281828,0.023476707,8.8
405700,06001405700,0.130179366,0.038158832,8.8
402500,06001402500,0.047924705,0.006903645,8.5
402600,06001402600,0.097185402,0.013933631,8.5
405600,06001405600,0.079033179,0.040227044,8.8
404900,06001404900,0.221416125,0.034430394,8.9
405200,06001405200,0.227380285,0.031316143,8.7
405000,06001405000,0.139646087,0.037692498,8.7
403000,06001403000,0.162675161,0.01800265,8.6
403400,06001403400,0.181150438,0.021019375,8.6
402900,06001402900,0.153904741,0.017603907,8.5
403100,06001403100,0.170691249,0.012504982,8.5
402800,06001402800,0.139163251,0.015034388,8.5
402700,06001402700,0.12734575,0.014367496,8.3
402400,06001402400,0.116971132,0.008115787,8.3
403700,06001403700,0.426917476,0.019883263,8.5
450400,06001450400,0.18979275,0.055349901,9.766666667
345110,06013345110,0.072295325,0.039157567,9.4
404502,06001404502,0.174364555,0.038403411,9.633333333
352202,06013352202,0.068639101,0.000434724,9.4625
342000,06013342000,0.077589941,0.001115912,8.3
344000,06013344000,0.096426763,5.60302E-13,8.3
353001,06013353001,0.101059578,-3.04154E-12,9.55
354001,06013354001,0.093953099,2.77772E-11,9.385714286
346202,06013346202,0.037598998,0.013470181,8.033333333
345202,06013345202,0.111433543,0.027214242,8.7
345105,06013345105,0.130882134,0.019766925,8.5
345108,06013345108,0.098043453,0.043076974,8.8
341000,06013341000,0.08356642,0.003576162,8.6
339000,06013339000,0.129110112,0.009283113,8.3
343003,06013343003,0.027079884,-1.40517E-12,8.1
348000,06013348000,0.037423461,8.62566E-05,8.7
343001,06013343001,0.059041091,0.005886114,8.3
338202,06013338202,0.056906503,0.006866596,8.25
338302,06013338302,0.023572237,0.000311444,7.933333333
380000,06013380000,0.186559625,0.003997889,8.6
378000,06013378000,0.067126986,0.032103452,7.9
379000,06013379000,0.101400767,0.000682236,8.4
390200,06013390200,0.085450502,0.038045964,9
391000,06013391000,0.115216228,0.037693548,9.1
421100,06001421100,0.110559962,0.041070384,9.6
392000,06013392000,0.117374719,0.037090644,9.3
390100,06013390100,0.098307335,0.023423548,8.8
388000,06013388000,0.245616611,0.01030842,8.8
387000,06013387000,0.225563944,0.009514305,8.4
383000,06013383000,0.115625865,0.010928872,8.5
381000,06013381000,0.115999419,0.00826722,8.2
340001,06013340001,0.044355977,0.012811133,8.3
386000,06013386000,0.189453472,0.009323816,8.2
385100,06013385100,0.117866295,0.003701127,8.6
356002,06013356002,0.060276492,0.015011033,8.77
359102,06013359102,0.140055646,2.1636E-11,9.4
389200,06013389200,0.225405818,0.013931492,8.9
389100,06013389100,0.206290137,0.020423164,8.9
377000,06013377000,0.164508529,0.007063631,8.4
355301,06013355301,0.003998285,3.94115E-13,6.4
337300,06013337300,0.011735161,-6.79805E-13,7.6
384000,06013384000,0.1000876,0.005170227,8.1
370000,06013370000,0.147103506,0.00855636,8
324000,06013324000,0.056744154,0.005063683,8.3
338100,06013338100,0.051198286,0.001745506,8.3
375000,06013375000,0.176497131,0.02617258,8.1
374000,06013374000,0.209092443,0.009124176,8.1
371000,06013371000,0.236508986,0.008541694,8.1
365002,06013365002,0.214217295,0.035876233,8.04
373000,06013373000,0.184378175,0.03763392,8.1
372000,06013372000,0.17847658,0.019464123,8.1
321103,06013321103,0.004755499,0.00132137,7.7
322000,06013322000,0.010144285,0.003028954,8.3
326000,06013326000,0.012127672,0.010768769,8.3
334003,06013334003,0.004851034,3.90641E-12,6.9
369002,06013369002,0.183970055,0.00152348,8.9
363000,06013363000,0.272751675,0.013258225,9.675
365001,06013365001,0.320541038,0.161806734,8.990909091
334005,06013334005,0.004773741,2.22296E-13,7.3
368000,06013368000,0.16558446,0.035777819,8.3
367200,06013367200,0.363320551,0.054994728,9
337100,06013337100,0.006857784,0.002321561,7.7
334001,06013334001,0.00550122,1.21829E-12,7.4
336101,06013336101,0.010452203,0.006986564,7.9
359101,06013359101,0.043876362,0.001360005,9.3
359202,06013359202,0.041094601,0.000152478,9.3
333200,06013333200,0.005096606,-1.20657E-13,7.4
366002,06013366002,0.191971802,0.054667395,8.7
366001,06013366001,0.218209047,0.180729251,9.2
355200,06013355200,0.002702237,0.000695604,7.6
367100,06013367100,0.252275556,0.188708956,9.2
335000,06013335000,0.006040773,0.006552655,7.7
331000,06013331000,0.006223188,0.005442664,7.7
328000,06013328000,0.008231251,0.00700371,8
314102,06013314102,0.005031421,1.47485E-05,7.1
314104,06013314104,0.002646118,-1.48464E-12,7.5
314200,06013314200,0.002247742,-9.78967E-13,7.666666667
313202,06013313202,0.001705064,0.002339652,6.92
313101,06013313101,0.004292608,0.005171975,7
307102,06013307102,0.003334261,-4.09993E-13,7.1
307204,06013307204,0.002454253,-5.33753E-13,7
359204,06013359204,0.026131785,0.027190699,9.1
315000,06013315000,0.003886574,0.000255788,7.872727273
329000,06013329000,0.016819351,0.004607139,8.05
310000,06013310000,0.003765499,0.003093565,7
312000,06013312000,0.004000825,0.004470906,6.9
131000,06041131000,0.00740128,2.57053E-05,6.6
128200,06041128200,0.011417433,0.002852894,7.1
124200,06041124200,0.006730059,0.002831838,6.9
130200,06041130200,0.001276367,5.88906E-14,6.5
129000,06041129000,0.00088594,-2.32023E-13,6.8
126200,06041126200,0.010985766,0.004381983,7
124100,06041124100,0.010811448,0.002031159,6.8
112200,06041112200,0.031881462,0.014228958,7.8
110200,06041110200,0.015108263,0.017419317,8.085714286
110100,06041110100,0.011307589,0.012646432,7.825
119200,06041119200,0.013329213,0.000932119,7.4
120000,06041120000,0.003139313,0.006419427,7.8
121200,06041121200,0.011534416,0.004660714,7.4
117000,06041117000,0.006366019,0.002431046,7.72
111000,06041111000,0.003625724,0.003351075,7.6
114100,06041114100,0.002433118,0.00042499,7.4
105000,06041105000,0.03284214,0.261096542,8.6
104300,06041104300,0.006173632,7.18446E-05,9
106001,06041106001,0.022622561,0.032355304,8.5
133000,06041133000,0.002285941,-1.53503E-13,7.970833333
114200,06041114200,0.007642658,0.000918113,7.4
132200,06041132200,6.09182E-05,-1.75263E-15,7.2
104102,06041104102,0.000944211,5.84505E-13,8.5
103200,06041103200,0.000921424,-9.94387E-15,8.6
104200,06041104200,0.002202393,0.070895458,8.1
107000,06041107000,0.001187273,0.01410733,7.925
115000,06041115000,0.011849908,0.00408137,7.5
200801,06055200801,0.000716869,-2.12047E-14,8.872727273
200201,06055200201,0.000406645,-4.57593E-13,9.766666667
200203,06055200203,0.000422277,1.13655E-13,9.85
200300,06055200300,0.000117217,4.16145E-14,8.66
