lowInc_0_autos_noAV,lowInc_autos_lt_workers_noAV,lowInc_autos_lt_workers_AV,lowInc_autos_ge_workers_noAV,lowInc_autos_ge_workers_AV,medInc_0_autos_noAV,medInc_autos_lt_workers_noAV,medInc_autos_lt_workers_AV,medInc_autos_ge_workers_noAV,medInc_autos_ge_workers_AV,highInc_0_autos_noAV,highInc_autos_lt_workers_noAV,highInc_autos_lt_workers_AV,highInc_autos_ge_workers_noAV,highInc_autos_ge_workers_AV,veryHighInc_0_autos_noAV,veryHighInc_autos_lt_workers_noAV,veryHighInc_autos_lt_workers_AV,veryHighInc_autos_ge_workers_noAV,veryHighInc_autos_ge_workers_AV,destChoiceAlt,taz,subzone
8.51301066,8.96492212,8.96482356,8.73543748,8.73548445,8.64396148,9.02792429,9.02808522,8.78401909,8.78413998,8.73838042,9.05847558,9.0562934,8.80113388,8.80066187,8.81712293,9.08718272,9.08686471,8.81479368,8.81367872,19,7,1
8.51528986,8.96486514,8.96491211,8.73545596,8.73552911,8.64184629,9.02795047,9.02736604,8.78418233,8.78404912,8.74395291,9.05865345,9.05788268,8.8004378,8.8003223,8.83687343,9.08281451,9.08785262,8.81551363,8.81496847,20,7,2
8.49822358,8.95812225,8.95812456,8.73042863,8.73047021,8.63929759,9.02190828,9.02287386,8.78000662,8.78012212,8.7304063,9.05468872,9.05395722,8.79749717,8.7967649,8.83022756,9.08351213,9.08422669,8.81155198,8.81153812,21,8,0
8.50010931,8.95826008,8.95777267,8.730414,8.7304756,8.63363809,9.0228831,9.0221747,8.77954924,8.78011365,8.73618438,9.05285227,9.05485658,8.79669791,8.79748485,8.82246288,9.08251421,9.08246724,8.81141184,8.8106172,22,8,1
8.50139906,8.95827009,8.95817769,8.73051102,8.73048484,8.63967489,9.02307637,9.02110055,8.77989959,8.7802484,8.71984729,9.05199526,9.05189362,8.7972423,8.79778207,8.81687422,9.08198676,9.0847757,8.81216336,8.81128248,23,8,2
8.43757838,8.92433696,8.92454178,8.70436336,8.70440648,8.59501335,8.9963797,8.99534867,8.7596432,8.75990115,8.6978507,9.02884059,9.03108899,8.77928282,8.77869069,8.80858825,9.06205454,9.06185896,8.79278785,8.79513943,24,9,0
8.4368746,8.92444707,8.92437931,8.70431947,8.70438107,8.59936308,8.99682476,8.99503451,8.75958699,8.75965629,8.69704605,9.02840939,9.02722821,8.77897867,8.77867529,8.79713373,9.06126298,9.06263589,8.79503548,8.79444874,25,9,1
8.43782786,8.92432618,8.92454101,8.70438569,8.70440417,8.58947859,8.99553347,8.9958253,8.75986727,8.75962857,8.69737407,9.02984082,9.03097965,8.77843351,8.77821483,8.80103378,9.06277295,9.0623533,8.79410686,8.79392052,26,9,2
8.4366975,8.92096744,8.92070949,8.70011527,8.70005213,8.58606903,8.9920446,8.99317573,8.75622286,8.756363,8.69704605,9.02797742,9.02757471,8.775613,8.77561916,8.78897481,9.06113978,9.0589191,8.79061337,8.79037852,27,10,0
8.43664283,8.92061401,8.92054163,8.70006907,8.70012297,8.58665115,8.99272528,8.99293549,8.75600418,8.7564554,8.70347401,9.02560351,9.02633501,8.77573081,8.77608886,8.81288639,9.06253117,9.06118521,8.79146807,8.79082512,28,10,1
