"taz","walk_subzone","walk_subzone_label","incQ","incQ_label","autoSuff","autoSuff_label","hasAV","num_persons","num_workers","num_workers_students"
1,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,58,36,41
1,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",1,2,1,2
1,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,7,6,6
1,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,25,13,17
1,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,10,8,9
1,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,1,1,1
1,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,12,7,10
1,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,4,3,3
1,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",1,2,2,2
1,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",1,5,5,5
1,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,1,1,1
1,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",1,3,2,3
1,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",1,27,19,21
2,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,142,43,54
2,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",1,2,1,2
2,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,23,6,7
2,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,72,24,34
2,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,29,21,24
2,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",1,8,7,8
2,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,5,1,1
2,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,41,21,25
2,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,26,9,19
2,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",1,5,3,5
2,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,24,6,18
2,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",1,46,19,35
2,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,13,10,10
2,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",1,31,28,29
2,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,3,1,1
2,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",1,68,56,59
3,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,428,105,175
3,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,10,1,4
3,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,15,3,6
3,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,174,51,92
3,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",1,34,10,26
3,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,9,1,4
3,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,16,8,10
3,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,114,79,85
3,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,2,2,2
3,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",1,25,20,24
3,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,1,1,1
3,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",1,10,6,7
3,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,137,99,99
3,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,8,4,6
3,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",1,85,67,75
3,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,1,1,1
3,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",1,33,20,20
