year,totpop,empres,medianage,age0004,age0519,age2044,age4564,age65p,st_res_vac
2010,7167026,3763886,36.446,447576,1321767,2581031,1931701,884951,0.032
2015,7655589,4040983,37.233,443196,1336223,2750267,2039839,1086064,0.014
2020,7934725,4212289,38.268,423789,1364719,2791793,2081971,1272453,0.027
2025,8231265,4279802,39.615,408660,1369348,2831808,2131111,1490338,0.038
2030,8553250,4471524,41.294,400753,1356185,2854000,2235494,1706818,0.05
2035,9002950,4711060,42.325,417165,1368067,2919140,2415056,1883522,0.05
2040,9487004,4961578,42.265,446848,1400672,3060044,2551098,2028342,0.05
2045,9925208,5196610,42.297,465058,1452882,3238450,2599371,2169447,0.05
2050,10325405,5419492,42.586,471807,1513456,3323310,2659388,2357444,0.05
