"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
12.492764,13.19159,13.16622,12.83392,12.79708,12.782369,13.278188,13.270514,12.887254,12.870496,12.942582,13.334482,13.323687,12.907997,12.898528,13.104657,13.381042,13.376649,12.926744,12.921677,0,1,0
12.491045,13.191507,13.166088,12.83388,12.797086,12.777889,13.279571,13.268946,12.887444,12.870557,12.941554,13.331875,13.323499,12.908824,12.898152,13.087284,13.381133,13.379005,12.927136,12.921687,1,1,1
12.490839,13.192326,13.166279,12.833932,12.79705,12.784156,13.279241,13.268744,12.886826,12.870623,12.944977,13.333853,13.325461,12.908466,12.898396,13.087156,13.382848,13.379786,12.92746,12.921078,2,1,2
12.541342,13.236194,13.211433,12.876662,12.841722,12.818415,13.322802,13.311465,12.92764,12.911824,12.985332,13.37337,13.364119,12.948309,12.938581,13.123517,13.420533,13.414981,12.96631,12.960556,3,2,0
12.539047,13.236378,13.211424,12.876818,12.841793,12.819529,13.32144,13.310128,12.927815,12.912346,12.971886,13.373647,13.364333,12.947843,12.938426,13.119126,13.419606,13.419443,12.965559,12.96068,4,2,1
12.539987,13.236171,13.211568,12.876655,12.841763,12.82197,13.322117,13.311048,12.92767,12.911834,12.989447,13.3731,13.366476,12.947646,12.938057,13.112405,13.421549,13.417384,12.965376,12.960895,5,2,2
12.522814,13.222102,13.197036,12.863848,12.828258,12.811428,13.310564,13.298233,12.915667,12.899673,12.972387,13.358459,13.350636,12.936146,12.926716,13.114036,13.408604,13.407269,12.953556,12.948604,6,3,0
12.526444,13.222425,13.197376,12.863941,12.828178,12.813861,13.30983,13.298849,12.915549,12.899567,12.959123,13.361001,13.353079,12.935663,12.926546,13.112987,13.410614,13.409994,12.953578,12.948514,7,3,1
12.523788,13.223119,13.19738,12.86384,12.828116,12.806706,13.307863,13.299481,12.915883,12.899533,12.978727,13.361167,13.355885,12.935922,12.926656,13.12316,13.405672,13.405557,12.954069,12.948533,8,3,2
12.603649,13.293242,13.269528,12.931439,12.898702,12.882328,13.375319,13.364614,12.979875,12.965658,13.039411,13.424952,13.416606,12.999214,12.990997,13.163148,13.470885,13.467093,13.016629,13.011672,9,4,0
12.604464,13.293281,13.269892,12.931482,12.898644,12.873923,13.374138,13.365113,12.980172,12.965269,13.025403,13.423445,13.419191,12.999441,12.990529,13.169537,13.469862,13.469417,13.016609,13.012519,10,4,1
12.601248,13.292995,13.269702,12.931458,12.898647,12.878038,13.376543,13.365046,12.980063,12.965642,13.029782,13.423707,13.417097,12.999164,12.990498,13.162094,13.472946,13.466552,13.016676,13.011794,11,4,2
12.582224,13.275226,13.250738,12.915532,12.881148,12.865401,13.361131,13.349579,12.965739,12.950219,13.028839,13.409907,13.401586,12.985244,12.976587,13.157632,13.457219,13.458079,13.002975,12.997894,12,5,0
12.580903,13.275283,13.250966,12.915454,12.881163,12.873809,13.358857,13.348463,12.965508,12.950445,13.025067,13.409153,13.407751,12.985605,12.976422,13.165052,13.460553,13.457231,13.002495,12.998205,13,5,1
12.580645,13.275308,13.250652,12.91546,12.881108,12.860081,13.35989,13.349505,12.965761,12.950398,13.027118,13.409765,13.405046,12.985778,12.97599,13.16394,13.459971,13.454255,13.002282,12.997964,14,5,2
12.501732,13.202756,13.175764,12.848504,12.810453,12.809793,13.293587,13.28496,12.902504,12.886138,12.977263,13.347505,13.343318,12.924397,12.914959,13.130164,13.402591,13.400449,12.942685,12.9377,15,6,0
12.497601,13.202809,13.175235,12.848457,12.810446,12.806151,13.294837,13.284049,12.902727,12.886167,12.990276,13.351477,13.342623,12.924777,12.914385,13.123564,13.402984,13.400537,12.943911,12.937989,16,6,1
12.499128,13.202516,13.175577,12.848488,12.810452,12.808505,13.29536,13.284967,12.903152,12.886613,12.983729,13.353789,13.343842,12.924416,12.914546,13.136093,13.40159,13.403438,12.943501,12.937708,17,6,2
12.531713,13.234048,13.207785,12.877868,12.841059,12.835796,13.324765,13.313375,12.930913,12.914691,13.005145,13.379402,13.371586,12.952768,12.942467,13.15088,13.428565,13.429057,12.970664,12.965466,18,7,0
12.532686,13.234055,13.207868,12.877853,12.841067,12.832726,13.324861,13.313775,12.931093,12.914874,13.002832,13.378979,13.370773,12.952514,12.942226,13.139915,13.432328,13.428463,12.970721,12.964317,19,7,1
12.535906,13.234025,13.207903,12.877868,12.841105,12.832258,13.32436,13.312577,12.93123,12.914832,13.007884,13.379641,13.372718,12.951735,12.941966,13.156254,13.425314,13.429298,12.97148,12.965752,20,7,2
12.514762,13.219571,13.192374,12.865042,12.826589,12.828861,13.312376,13.301675,12.920058,12.903422,12.997083,13.37171,13.363004,12.942371,12.931255,13.154261,13.423842,13.421667,12.961284,12.955952,21,8,0
12.517352,13.219827,13.191956,12.865037,12.8266,12.823503,13.313752,13.300653,12.919625,12.903378,13.00237,13.368458,13.365251,12.941533,12.932009,13.142531,13.422928,13.420047,12.961195,12.954617,22,8,1
12.519047,13.21984,13.192502,12.865145,12.826597,12.830624,13.314079,13.299616,12.919957,12.903432,12.99063,13.367697,13.360369,12.94214,12.932381,13.141315,13.422956,13.422853,12.961883,12.955521,23,8,2
12.437296,13.151883,13.119495,12.805665,12.759986,12.782692,13.257908,13.242881,12.868264,12.848978,12.965941,13.319199,13.314362,12.893534,12.881538,13.133935,13.380013,13.376821,12.912996,12.909434,24,9,0
12.436754,13.152003,13.119096,12.805614,12.759974,12.78681,13.258149,13.242442,12.868205,12.848762,12.963368,13.318533,13.30977,12.8933,12.881183,13.124513,13.379407,13.37744,12.915246,12.908632,25,9,1
12.437925,13.15189,13.119412,12.805687,12.759988,12.775001,13.256604,13.2439,12.868382,12.848732,12.963907,13.320341,13.314214,12.892831,12.880739,13.12681,13.38102,13.377048,12.914361,12.908122,26,9,2
12.430184,13.145551,13.11137,12.798817,12.75163,12.766719,13.249922,13.237605,12.863156,12.84312,12.961097,13.315983,13.308251,12.888327,12.87651,13.116514,13.37802,13.372288,12.909421,12.903263,27,10,0
12.430623,13.145103,13.111298,12.798765,12.751713,12.767569,13.250857,13.237305,12.862851,12.843246,12.966908,13.313169,13.306392,12.888597,12.876974,13.136506,13.380085,13.374445,12.910349,12.903472,28,10,1
12.429697,13.144912,13.111559,12.79881,12.751587,12.770543,13.249658,13.237616,12.862989,12.843264,12.971759,13.313873,13.306357,12.888759,12.876852,13.117023,13.377253,13.375376,12.910591,12.903897,29,10,2
12.544735,13.241713,13.215118,12.885855,12.848498,12.848414,13.335455,13.322332,12.939905,12.923382,13.019951,13.388496,13.381234,12.961454,12.951891,13.160755,13.440623,13.443542,12.980443,12.975101,30,11,0
12.544044,13.241753,13.214945,12.885896,12.848457,12.857879,13.334959,13.323366,12.939728,12.923364,13.00495,13.389115,13.379773,12.961379,12.951817,13.160319,13.443991,13.437402,12.98055,12.974483,31,11,1
12.544187,13.241365,13.215143,12.885859,12.848519,12.845966,13.335364,13.32079,12.940054,12.923546,13.019897,13.389874,13.38401,12.961871,12.951772,13.173596,13.441519,13.437328,12.980441,12.975103,32,11,2
12.583357,13.275322,13.251476,12.915132,12.88098,12.866461,13.359147,13.349828,12.965405,12.949733,13.023116,13.406975,13.405453,12.985084,12.975214,13.157075,13.454979,13.454839,13.002337,12.997176,33,12,0
12.582921,13.275502,13.251343,12.914968,12.880885,12.86727,13.360502,13.348461,12.964734,12.949674,13.022472,13.408351,13.402502,12.98504,12.97508,13.15853,13.459849,13.454729,13.002218,12.997227,34,12,1
