"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
12.427631,12.770882,12.778282,12.370149,12.380562,12.475348,12.794915,12.804584,12.390043,12.402081,12.500922,12.80665,12.81311,12.396806,12.409635,12.538616,12.814998,12.823078,12.402676,12.415694,0,1,0
12.426273,12.770712,12.778194,12.37009,12.380585,12.472802,12.796022,12.803929,12.390195,12.40204,12.500802,12.805387,12.813232,12.397228,12.40946,12.529835,12.815317,12.82399,12.402793,12.415703,1,1,1
12.425817,12.771506,12.778372,12.370168,12.380478,12.476018,12.795516,12.803971,12.389744,12.402112,12.502117,12.806275,12.813801,12.397055,12.409577,12.530431,12.816067,12.824191,12.403015,12.415318,2,1,2
12.445951,12.789048,12.795915,12.388406,12.398979,12.489904,12.814369,12.821735,12.407945,12.419991,12.52292,12.823946,12.830783,12.414982,12.427428,12.549533,12.833178,12.840252,12.420753,12.433228,3,2,0
12.444266,12.789246,12.795875,12.38861,12.399067,12.491366,12.813618,12.821239,12.4081,12.420322,12.515528,12.823911,12.830863,12.414719,12.427292,12.547251,12.832833,12.842132,12.420317,12.433287,4,2,1
12.444829,12.788995,12.796074,12.388393,12.399034,12.492397,12.813957,12.821613,12.408021,12.419988,12.523265,12.823752,12.831773,12.414615,12.427024,12.545021,12.8337,12.841395,12.420143,12.433449,5,2,2
12.452257,12.798038,12.805005,12.398212,12.40874,12.500794,12.823287,12.83042,12.417492,12.429494,12.527897,12.831235,12.838505,12.424162,12.436694,12.55523,12.841613,12.850226,12.42946,12.442111,6,3,0
12.454224,12.798125,12.805285,12.398303,12.408667,12.501223,12.822926,12.830688,12.417494,12.429437,12.52164,12.832249,12.839459,12.423841,12.436565,12.553788,12.842004,12.851288,12.429384,12.442209,7,3,1
12.452394,12.798835,12.805199,12.398212,12.408581,12.497909,12.821946,12.830911,12.417678,12.429387,12.530334,12.832255,12.84081,12.424088,12.436679,12.560038,12.840356,12.849483,12.429671,12.442203,8,3,2
12.471494,12.815519,12.821856,12.414907,12.425459,12.521569,12.839605,12.847202,12.434063,12.446491,12.551026,12.849717,12.85646,12.440829,12.453706,12.573424,12.859117,12.866902,12.446654,12.459217,9,4,0
12.472256,12.815642,12.822178,12.414983,12.425382,12.517273,12.838862,12.847159,12.434303,12.446172,12.543435,12.848814,12.857756,12.440944,12.45345,12.577085,12.85893,12.867592,12.446594,12.45976,10,4,1
12.470076,12.815307,12.82202,12.414949,12.425385,12.519234,12.840184,12.847148,12.434199,12.446528,12.546291,12.849139,12.856567,12.440823,12.453343,12.572217,12.860016,12.866945,12.446647,12.459328,11,4,2
12.505501,12.85029,12.856731,12.452372,12.462506,12.550829,12.873917,12.88089,12.470746,12.482228,12.580583,12.882357,12.889341,12.476884,12.48928,12.602782,12.891625,12.900704,12.482346,12.494585,12,5,0
12.504583,12.850266,12.85691,12.452289,12.462522,12.555217,12.872785,12.880333,12.470597,12.482382,12.579822,12.881973,12.891525,12.477078,12.489101,12.606668,12.892281,12.900412,12.48205,12.494657,13,5,1
12.504263,12.850353,12.856643,12.452275,12.462442,12.547617,12.87338,12.880808,12.470795,12.482264,12.579705,12.882039,12.890738,12.477111,12.488812,12.605597,12.892676,12.899359,12.482014,12.494597,14,5,2
12.493639,12.838211,12.844907,12.438572,12.448709,12.541729,12.86148,12.870324,12.456932,12.468843,12.568119,12.870628,12.879359,12.463591,12.475968,12.598399,12.88126,12.889684,12.468692,12.481248,15,6,0
12.491628,12.838207,12.844447,12.438487,12.448711,12.539261,12.862169,12.869733,12.457108,12.468828,12.574156,12.871922,12.878888,12.463809,12.475675,12.594988,12.881198,12.889837,12.469275,12.481343,16,6,1
12.491976,12.838,12.844722,12.438552,12.448711,12.540907,12.862279,12.87026,12.457321,12.469114,12.571118,12.872937,12.879458,12.463613,12.475766,12.60164,12.88088,12.890748,12.469243,12.481113,17,6,2
12.518705,12.866561,12.872959,12.46896,12.478891,12.567239,12.890432,12.897587,12.487227,12.498521,12.596301,12.899856,12.906558,12.493853,12.505362,12.623846,12.908472,12.917614,12.498785,12.510816,18,7,0
12.519395,12.866616,12.872951,12.468924,12.478887,12.566221,12.89024,12.897817,12.487356,12.498706,12.59467,12.899975,12.90638,12.493759,12.505215,12.61758,12.909788,12.917331,12.49879,12.510235,19,7,1
12.521378,12.866538,12.873091,12.468964,12.478942,12.565608,12.890252,12.897222,12.487473,12.498652,12.597657,12.899966,12.907184,12.493363,12.505021,12.626022,12.907413,12.917727,12.499211,12.51097,20,7,2
