year,q1_households,q2_households,q3_households,q4_households
2010,681798,664489,579677,620657
2015,956823,853596,743816,879254
2020,958033,840611,817783,1054009
2025,1000543,854501,877094,1153055
2030,1044993,867043,932911,1246084
2035,1119485,893979,945641,1275795
2040,1072368,858586,1085059,1478888
2045,1055770,844864,1200544,1681304
2050,1045733,834008,1303505,1861013
