"taz","walk_subzone","walk_subzone_label","incQ","incQ_label","autoSuff","autoSuff_label","hasAV","num_persons","num_workers","num_workers_students"
1,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,50,10,12
1,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,20,1,3
1,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,17,6,7
1,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,12,6,6
1,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,11,5,6
1,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,2,2,2
1,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,3,3,3
1,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",1,11,7,9
1,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,7,7,7
1,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",1,5,5,5
1,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",1,40,30,31
2,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,390,53,119
2,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,78,8,21
2,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,50,6,13
2,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,126,32,61
2,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",1,4,4,4
2,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,41,6,9
2,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,38,14,25
2,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,106,69,84
2,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",1,37,19,37
2,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,6,4,5
2,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",1,76,50,56
2,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,81,44,59
2,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,4,2,4
2,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",1,65,57,60
2,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,20,10,14
2,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",1,258,123,168
3,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,311,42,74
3,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,7,1,3
3,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,11,1,2
3,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,142,71,93
3,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,7,2,3
3,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,6,4,4
3,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,120,89,92
3,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",1,11,8,10
3,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,5,2,2
3,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",1,19,14,16
3,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,184,103,120
3,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,2,2,2
3,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",1,33,20,26
3,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,13,4,6
3,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",1,93,42,53
4,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,273,30,63
4,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,32,1,4
4,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,35,2,11
4,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,114,41,61
4,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,2,2,2
4,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,22,5,8
4,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,35,11,20
4,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,130,75,85
4,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,8,5,6
4,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",1,30,19,24
4,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,20,12,12
4,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",1,70,47,50
4,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,145,96,102
