year,q1_households,q2_households,q3_households,q4_households
2010,681798,664489,579677,620657
2015,750644,682855,599792,713499
2020,769715,674924,654153,840046
2025,808932,686791,700686,918681
2030,848354,696829,745277,992288
2035,902019,716963,759375,1024649
2040,889582,690864,863918,1168147
2045,895227,681146,953068,1317149
2050,902693,673652,1033769,1450724
