"taz","walk_subzone","walk_subzone_label","incQ","incQ_label","autoSuff","autoSuff_label","hasAV","num_persons","num_workers","num_workers_students"
1,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,44,14,14
1,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,10,10,10
1,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,40,18,18
1,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,2,2,2
1,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,4,4,4
1,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,6,4,4
2,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,272,100,156
2,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,12,8,8
2,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,218,36,96
2,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,4,2,2
2,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,28,16,22
2,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,28,12,18
2,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,2,2,2
2,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,16,10,16
2,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,6,4,4
2,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,4,2,2
2,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,2,2,2
2,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,8,6,8
3,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,314,92,138
3,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,4,4,4
3,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,96,24,34
3,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,6,2,2
3,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,52,34,34
3,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,8,6,8
3,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,26,14,26
3,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,2,2,2
3,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,32,22,28
3,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,34,22,34
3,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,18,14,14
3,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,8,8,8
4,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,264,82,124
4,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,8,8,8
4,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,156,40,56
4,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,8,0,2
4,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,28,22,22
4,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,4,4,4
4,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,24,16,16
4,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,10,10,10
4,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,6,4,6
4,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,12,12,12
4,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,4,4,4
5,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,504,186,282
5,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,20,16,16
5,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,282,88,116
5,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,4,0,0
5,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,52,42,48
5,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,46,46,46
5,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,54,30,48
5,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,2,2,2
5,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,52,32,50
5,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,6,2,6
5,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",1,6,2,6
5,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,4,4,4
5,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,26,24,24
5,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,8,8,8
5,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",1,4,4,4
6,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,2962,1398,2312
6,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,222,202,216
6,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",1,4,4,4
6,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,558,190,346
6,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,18,6,16
6,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,420,352,394
6,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,138,116,132
6,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",1,34,26,32
6,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,36,30,34
6,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,2,2,2
6,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,164,124,162
6,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,30,22,30
6,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",1,8,4,6
6,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,18,6,18
6,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",1,2,2,2
6,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,68,54,60
6,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,16,16,16
6,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",1,12,12,12
