year,AGREMPN,MWTEMPN,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN
2010,27545,561534,636935,818157,867980,546126
2015,24826,628375,684164,985981,1095193,647692
2020,24425,622323,720328,1088604,1214076,668274
2025,22548,600823,737260,1141365,1277083,671355
2030,20801,580283,731582,1178057,1311299,669149
2035,18732,525905,628159,1133911,1232402,623444
2040,18786,592150,743220,1303417,1466405,717889
2045,17931,587221,747234,1365335,1537915,760035
2050,17286,575616,747174,1416999,1608258,788418
