"taz","walk_subzone","walk_subzone_label","incQ","incQ_label","autoSuff","autoSuff_label","hasAV","num_persons","num_workers","num_workers_students"
1,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,45,13,15
1,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,3,3,3
1,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,45,14,18
1,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,8,7,7
1,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,18,9,10
1,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,1,1,1
1,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,3,3,3
1,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,4,4,4
2,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,156,38,68
2,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,113,21,41
2,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,31,14,14
2,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,80,26,68
2,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,2,0,0
2,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,16,11,12
2,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,21,13,20
2,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",1,3,1,3
2,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,36,20,27
2,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",1,4,3,4
2,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,11,7,8
2,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,4,3,3
2,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",1,8,6,6
2,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,52,26,27
2,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",1,10,5,7
3,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,274,72,108
3,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,6,3,4
3,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,69,20,27
3,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,3,2,2
3,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,83,48,55
3,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,8,4,4
3,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",1,4,4,4
3,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,30,17,18
3,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,1,0,0
3,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,28,24,25
