x,y,apn
-123.043771078,38.3139435129,Unincorporated Sonoma-100-130-006-1
-121.726764763,37.7183027487,Livermore-099B520100100
-122.004582587,37.8741234232,Unincorporated Contra Costa-64548
-121.627101177,37.9871116252,Oakley-254819
-121.627292116,38.0176881173,Unincorporated Contra Costa-329016
-122.173873713,37.7978561101,Oakland-037A313502300
-121.637781481,37.9867612804,Oakley-259098
-121.636795495,37.9901729546,Oakley-263113
-121.636792035,37.9912697665,Oakley-266897
-122.044686582,37.5749024514,Fremont-543 043203600
-123.128521624,38.452038022,Unincorporated Sonoma-099-030-012-2
-123.038560206,38.7246881522,Unincorporated Sonoma-139-230-009-1
-122.750715748,38.4765808401,Santa Rosa-034-373-016
-121.722530702,37.6841076219,Livermore-099A292400700-1
-121.623143052,38.0144694336,Unincorporated Contra Costa-323818
-121.975462748,37.5462221953,Fremont-525 166005300
-121.627565831,38.0140528432,Unincorporated Contra Costa-329193
-121.638933558,38.0157892947,Unincorporated Contra Costa-323483
-123.21945721,38.5227470601,Unincorporated Sonoma-109-110-011
-122.266004043,38.0105781281,Hercules-330436-2
-121.629839714,38.0164967049,Unincorporated Contra Costa-329193
-121.682030844,37.9328184127,Unincorporated Contra Costa-132398-2
-121.902140993,38.1897904951,Unincorporated Solano-48040390
-121.690344308,37.9960210932,Oakley-280315
-122.090054994,37.6117656195,Hayward-456 009800300
-121.631999151,38.0132283745,Unincorporated Contra Costa-315762
-121.71460452,37.9619370711,Brentwood-197918
-121.614792788,37.8952518171,Unincorporated Contra Costa-80026
-122.165085104,37.8029033328,Oakland-085 010107906-2
-122.224694606,37.8740555864,Oakland-048H790000204
-121.634820989,37.9854426128,Oakley-250964
-121.736987401,37.9136040807,Brentwood-101272
-122.418814245,37.7181754377,San Francisco-6220002-3
-122.302717804,37.8048750402,Oakland-006 000100103
-121.96594256,37.5216553336,Fremont-525 165605800-2
-121.698519111,37.9386330023,Brentwood-145195
-121.909635997,37.7737100271,San Ramon-18297
-121.629693397,37.9860251096,Oakley-251964
-121.88775123,37.793952369,Unincorporated Contra Costa-28734
-121.634978858,38.016598545,Unincorporated Contra Costa-329998
-121.92743896,37.7445762343,San Ramon-5267-2
-121.626022833,38.0159125838,Unincorporated Contra Costa-327857
-121.638782298,37.9874553556,Oakley-266198-2
-121.967366558,37.9489752279,Concord-173287
-122.449406304,37.7558195247,San Francisco-2719C011-1
-121.905459413,37.7825589829,San Ramon-24402
-121.635225233,38.0152870326,Unincorporated Contra Costa-321336
-122.234223784,37.8656909963,Oakland-048H769205401
-123.090097599,38.4432720486,Unincorporated Sonoma-099-070-011
-122.19491278,37.8674952285,Orinda-62300
-121.630273914,37.9898298984,Oakley-262160
-121.744467077,37.9637653334,Antioch-204118
-121.891163215,38.0323643586,Pittsburg-346114
-121.744743776,37.9663355383,Antioch-209430
-121.893275034,37.4740198299,Fremont-519 171600200-2
-122.019025091,37.5555082828,Fremont-501 008021000-1
-121.630877917,37.9900189378,Oakley-262637
-121.633067705,37.9863612533,Oakley-253544
-121.628076042,38.0166046449,Unincorporated Contra Costa-329209
-122.351106456,37.9164100782,Richmond-118987
-122.392458018,37.716100184,San Francisco-4991246
-122.33444443,37.4006829674,Unincorporated San Mateo-81110030-2
-121.744830573,37.9641434352,Antioch-203562
-121.754499427,37.9594035031,Antioch-192930
-121.640052711,37.9853402879,Oakley-250061
-121.63552377,37.9837215509,Oakley-247422
-122.563428935,38.4863788231,Unincorporated Sonoma-030-050-020-1
-122.826407459,38.4219400268,Unincorporated Sonoma-060-330-026
-122.343940353,37.9101517312,Richmond-105986
-122.266657108,38.0226788345,Hercules-342098
-122.076042318,37.5915105993,Union City-483 009821800-1
-121.626182531,38.0137839374,Unincorporated Contra Costa-313299
-121.823466466,37.6961316655,Livermore-904 000200600
-121.615203104,37.9042991378,Unincorporated Contra Costa-84281
-122.49495168,37.6695947948,Daly City-8460010-1
-121.731241605,37.9051973157,Brentwood-88897-1
-123.523773733,38.7523920868,Unincorporated Sonoma-156-560-007-1
-122.362652661,37.5347557438,Hillsborough-38293030
