zone_id,gid,tract,area,acres,tothh,hhpop,sfdu,mfdu,hhincq1,hhincq2,hhincq3,hhincq4,NEWdevacres,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn
1389,1375,154302.0,138341504.0,3175.884033203125,,,,,,,,,,,,,,,,
1381,1354,153300.0,32846182.0,754.0449829101562,,,,,,,,,,,,,,,,
72,597,15300.0,238085.671875,5.466000080108643,1012.0,2045.0,196.0,816.0,145.0,175.0,219.0,473.0,26.246536367356995,1603.0,2.0,94.0,116.0,296.0,949.0,146.0
77,603,15900.0,278671.625,6.396999835968018,1859.0,3182.0,38.0,1821.0,654.0,444.0,482.0,279.0,21.665480735023653,1635.0,,146.0,102.0,438.0,594.0,355.0
1270,1252,252309.0,34852400.0,800.1010131835938,,,,,,,,,,,,,,,,
1286,1271,252903.0,228538240.0,5246.51611328125,,,,,,,,,,,,,,,,
661,1189,512033.0,4022312.0,92.33999633789062,,,,,,,,,,,,,,,,
658,1191,512035.0,2185036.25,50.1619987487793,,,,,,,,,,,,,,,,
697,1192,512100.0,79133896.0,1816.6639404296875,,,,,,,,,,,,,,,,
712,1200,512401.0,41182136.0,945.4119873046875,,,,,,,,,,,,,,,,
713,1201,512402.0,51068344.0,1172.3680419921875,,,,,,,,,,,,,,,,
1165,409,346201.0,16334099.0,374.97900390625,,,,,,,,,,,,,,,,
556,892,500902.0,245545.53125,5.63700008392334,,,,,,,,,,,,,,,,
704,1193,512200.0,264293424.0,6067.341796875,,,,,,,,,,,,,,,,
700,1194,512304.0,10930748.0,250.93499755859375,,,,,,,,,,,,,,,,
2,1377,,125828.75,2.8889999389648438,63.0,97.0,1.0,62.0,45.0,10.0,3.0,5.0,19.532526846749764,34707.0,88.0,1269.0,469.0,27539.0,2881.0,2461.0
1330,1306,150902.0,2440101.25,56.016998291015625,,,,,,,,,,,,,,,,
1329,1307,151000.0,15634215.0,358.9119873046875,,,,,,,,,,,,,,,,
176,681,30201.0,369848.84375,8.491000175476074,2326.0,5302.0,785.0,1541.0,412.0,448.0,591.0,875.0,42.515783224256985,794.0,3.0,38.0,51.0,205.0,334.0,163.0
1311,556,201400.0,372813408.0,8558.6181640625,,,,,,,,,,,,,,,,
1315,557,201500.0,134163640.0,3079.972900390625,,,,,,,,,,,,,,,,
78,605,16100.0,369052.125,8.472000122070312,2404.0,4163.0,18.0,2386.0,1216.0,499.0,363.0,326.0,17.955901296694176,1269.0,2.0,15.0,99.0,275.0,398.0,480.0
1366,1335,152400.0,21112616.0,484.6789855957031,,,,,,,,,,,,,,,,
65,710,40200.0,552043.625,12.67300033569336,2561.0,5540.0,412.0,2149.0,404.0,510.0,596.0,1051.0,49.44467038880291,2093.0,1.0,171.0,300.0,673.0,512.0,436.0
1354,1338,152600.0,123115384.0,2826.340087890625,,,,,,,,,,,,,,,,
1397,1368,153901.0,65855108.0,1511.824951171875,,,,,,,,,,,,,,,,
115,641,22802.0,300828.84375,6.906000137329102,614.0,1578.0,139.0,475.0,165.0,126.0,110.0,213.0,38.15515856900893,6201.0,,532.0,24.0,171.0,5359.0,115.0
347,1400,,134913392.0,3097.18505859375,,,,,,,,,,,,,,,,
968,30,403000.0,335778.90625,7.708000183105469,,,,,,,,,,,,,,,,
932,59,405800.0,516924.25,11.866999626159668,,,,,,,,,,,,,,,,
1142,395,343003.0,5902636.0,135.50599670410156,,,,,,,,,,,,,,,,
1400,1371,154000.0,225099936.0,5167.583984375,,,,,,,,,,,,,,,,
1077,445,361000.0,15780983.0,362.2820129394531,,,,,,,,,,,,,,,,
885,83,408100.0,8657645.0,198.7519989013672,,,,,,,,,,,,,,,,
821,198,435102.0,4326728.0,99.3280029296875,,,,,,,,,,,,,,,,
