Variables,Coefficient,Stderr,T-score,Significance
ln rent,-1.50,0.32,-4.72,***
accessibility,0.50,0.14,3.44,***
reliability,-0.16,0.06,-2.54,**
average income,2.62,0.12,22.43,***
ln units,0.69,0.07,9.81,***
ln renters,0.72,0.06,12.60,***
