juris_name,zoned_du,zoned_du_underbuild,zoned_du_underbuild_nodev
Alameda,106548,71034,63709
Alameda County,336188,272066,243327
Albany,9416,2497,1474
American Canyon,14498,9264,8980
Antioch,115966,83677,76116
Atherton,2523,199,169
Belmont,22138,10224,7984
Belvedere,1296,262,200
Benicia,28757,15050,11279
Berkeley,84532,28873,16907
Brentwood,86072,63375,47763
Brisbane,76216,73929,73703
Burlingame,73191,53213,30204
Calistoga,6568,3350,1015
Campbell,29871,15594,14045
Clayton,5000,1352,1260
Cloverdale,27321,23099,17386
Colma,9715,8396,8262
Concord,335855,267091,251780
Contra Costa County,267928,199698,188098
Corte Madera,5624,1005,822
Cotati,13174,9383,7900
Cupertino,39742,18171,16660
Daly City,82905,49397,40689
Danville,30944,13309,12051
Dixon,16529,9480,7483
Dublin,221662,204136,193203
East Palo Alto,38245,28286,20737
El Cerrito,18894,6197,4576
Emeryville,71370,56204,51603
Fairfax,5680,2660,2125
Fairfield,79411,47442,40635
Foster City,18624,8229,8135
Fremont,482944,381544,316474
Gilroy,61815,44663,37115
Half Moon Bay,21654,17466,16555
Hayward,120058,66530,57227
Healdsburg,8389,2962,2373
Hercules,35853,26960,23709
Hillsborough,6319,1636,1488
Lafayette,36627,21163,18280
Larkspur,6811,1592,1309
Livermore,305274,264539,254765
Los Altos,25071,9702,8148
Los Altos Hills,129,103,95
Los Gatos,127,75,6
Marin County,81164,50149,44555
Martinez,30863,12181,9033
Menlo Park,23469,9129,8668
Mill Valley,7156,1306,855
Millbrae,13934,4388,3689
Milpitas,70576,50689,49989
Monte Sereno,1424,150,92
Moraga,17239,12704,11922
Morgan Hill,31542,20786,17797
Mountain View,174948,136147,124304
Napa,72680,34113,27293
Napa County,330964,319621,297414
Newark,24895,18537,17653
Novato,47982,30610,29302
Oakland,1135747,839929,543196
Oakley,110168,99278,86711
Orinda,19414,10485,9814
Pacifica,22046,6525,5427
Palo Alto,58168,27304,18423
Petaluma,73195,44740,37687
Piedmont,5557,1297,271
Pinole,14037,8161,7473
Pittsburg,110872,82644,61028
Pleasant Hill,25314,8361,7839
Pleasanton,130349,85784,82880
Portola Valley,3284,1235,1220
Redwood City,155103,114730,108143
Richmond,246236,187793,147761
Rio Vista,27532,22035,20524
Rohnert Park,63137,45620,45438
Ross,1802,645,352
San Anselmo,6059,1865,1104
San Bruno,37301,17215,15844
San Carlos,21058,7374,6493
San Francisco,1549970,935330,554759
San Jose,3350057,2857716,2185258
San Leandro,104331,67821,44929
San Mateo,110839,60492,52727
San Mateo County,85808,56981,36880
San Pablo,21736,10064,8464
San Rafael,105665,73605,54877
San Ramon,97715,65183,64009
Santa Clara,93745,52038,48231
Santa Clara County,138971,118467,81111
Santa Rosa,348190,247908,199561
Saratoga,12145,2026,1525
Sausalito,4196,713,249
Sebastopol,24721,18493,13751
Solano County,183211,175650,174089
Sonoma,9681,3737,2969
Sonoma County,137040,92258,75632
South San Francisco,45927,21208,15136
St. Helena,9557,6222,3055
Suisun City,32406,20769,14909
Sunnyvale,148640,91653,83039
Tiburon,4066,632,538
Union City,38736,22435,20836
Vacaville,67570,38840,36889
Vallejo,84650,41265,33295
Walnut Creek,136445,93790,86108
Windsor,46693,37080,31443
Woodside,3291,1403,1354
Yountville,1856,689,649
