Variables,Coefficient,Stderr,T-score,Significance
total sqft,0.32,0.03,9.43,***
ln weighted rent,-0.20,0.12,-1.67,*
retpct,-0.25,0.12,-2.03,*
indpct,-1.91,0.21,-9.04,***
accessibility,0.46,0.02,19.43,***
reliability,-0.09,0.03,-2.70,**
