Variables,Coefficient,Stderr,T-score,Significance
total sqft,0.08,0.02,3.79,***
ln weighted rent,0.12,0.07,1.63,.
retpct,-0.28,0.09,-3.05,**
indpct,-0.25,0.11,-2.28,*
accessibility,0.29,0.01,22.53,***
reliability,-0.00,0.02,-0.13,
