,segment0,segment1,segment2,segment3
count,226060.0,226060.0,226060.0,226060.0
mean,4.423604352826656e-06,4.423604352826718e-06,4.423604352826878e-06,4.423604352826785e-06
std,3.1310906094776805e-06,2.923013650089138e-06,3.4614832387756134e-06,4.440229483882093e-06
min,1.1075209176816046e-06,6.754901147558744e-07,6.614398972501866e-08,8.26715912508101e-09
25%,2.347413644542774e-06,2.433178671485297e-06,1.807165005918214e-06,1.1682332369789011e-06
50%,3.666363073036493e-06,3.7806010497205495e-06,4.064362444012881e-06,3.1634343453043707e-06
75%,5.419497130456174e-06,5.439569782618109e-06,6.0993587972233456e-06,6.268696075284812e-06
max,5.837491024826302e-05,6.067705052988327e-05,6.013412603743098e-05,8.941169260670601e-05
