Variables,Coefficient,Stderr,T-score,Significance
total sqft,0.18,0.12,1.55,.
ln weighted rent,-0.15,0.41,-0.36,
retpct,-0.45,0.54,-0.85,
indpct,0.44,0.43,1.04,
accessibility,0.07,0.03,2.26,*
reliability,-0.29,0.05,-6.00,***
